id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-HOOK-MANUAL-ORDER-CONTROLLER,useManualOrderController,hook,verified,frontend,web-dashboard-home,manual-order,"Controller hook for manual order context state confirmation and submission.",apps/web/src/features/dashboard-home/hooks/useManualOrderController.ts,,SOAR-FEATURE-MANUAL-ORDER,,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-WEB-DASHBOARD-HOME,,high,100,2026-05-23,verified,"Typed function/hook view."
SOAR-SERVICE-ORDERS,Orders service,service,verified,backend,api-orders,manual-order,"Order command and read service for manual context open cancel close and lifecycle behavior.",apps/api/src/modules/orders/orders.service.ts,apps/api/src/modules/orders/orders.manualContext.service.ts;apps/api/src/modules/orders/orders.lifecycle.service.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-ORDER,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,SOAR-DB-ORDER;SOAR-DB-POSITION;SOAR-DB-TRADE,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,,critical,95,2026-05-23,verified_local,"Typed service view."
SOAR-SERVICE-RUNTIME-AUTOMATION,Runtime position automation,service,verified,backend,bot-runtime,runtime-dca-pnl,"Position management automation helper and runtime decision path for DCA TP SL TTP and TSL thresholds.",apps/api/src/modules/engine/runtimePositionAutomation.helpers.ts,apps/api/src/modules/engine/runtimePositionAutomation.service.ts,SOAR-FEATURE-RUNTIME-DCA-PNL,,SOAR-DB-POSITION;SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-FEATURE-DASHBOARD-RUNTIME,,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-RUNTIME-DCA-PNL,SOAR-DOC-POSITION-PNL-LIFECYCLE,,critical,100,2026-05-23,verified_local,"Typed service view."
SOAR-CONTROLLER-ORDERS,Orders controller,controller,verified,backend,api-orders,manual-order,"Express controller layer for list get manual context open cancel and close routes with typed error mapping.",apps/api/src/modules/orders/orders.controller.ts,,SOAR-FEATURE-MANUAL-ORDER,SOAR-API-ORDER-LIST;SOAR-API-ORDER-GET;SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN;SOAR-API-ORDER-CANCEL;SOAR-API-ORDER-CLOSE,SOAR-TYPES-ORDERS;SOAR-SERVICE-ORDERS,SOAR-API-ORDER-LIST;SOAR-API-ORDER-GET;SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN;SOAR-API-ORDER-CANCEL;SOAR-API-ORDER-CLOSE,,SOAR-API-ORDER-OPEN;SOAR-API-ORDER-CANCEL;SOAR-API-ORDER-CLOSE,,SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,critical,95,2026-05-23,verified_local,"Typed controller view."
SOAR-TOOL-REPOSITORY-PATH-RESOLVER,Repository path resolver utility,utility,verified_local,tooling,scripts,release-audit-tooling,"Shared resolver for repo-relative paths with docs fallback and history path support.",scripts/resolveRepositoryPath.mjs,scripts/resolveRepositoryPath.test.mjs,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK;SOAR-TOOL-REUSABLE-AUDIT-CHECKERS,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING,SOAR-AGENT-COORDINATOR,high,100,2026-05-24,verified_local,"Typed tooling view for path resolver."
SOAR-TOOL-V1-FINAL-PREFLIGHT,V1 final preflight runner,validator,verified_local,tooling,release,release-audit-tooling,"No-secret release preflight runner that validates build-info public smoke protected prerequisite presence and freshness of release evidence.",scripts/runV1FinalPreflight.mjs,scripts/runV1FinalPreflight.test.mjs;history/artifacts/v1-preflight-production-no-secret-refresh-2026-05-24.json;history/releases/v1-preflight-production-no-secret-refresh-2026-05-24.md,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-TOOL-REPOSITORY-PATH-RESOLVER,SOAR-TOOL-V1-RELEASE-GATE;SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-TESTING;SOAR-DOC-LOCAL-DEVELOPMENT,SOAR-AGENT-COORDINATOR,critical,100,2026-05-24,verified_local,"Typed tooling view for V1 preflight runner."
SOAR-TOOL-V1-RELEASE-GATE,V1 release gate runner,validator,verified_local,tooling,release,release-audit-tooling,"Final V1 release gate runner that combines production preflight release evidence readiness and go/no-go decision output.",scripts/runV1ReleaseGate.mjs,scripts/runV1ReleaseGate.test.mjs;history/releases/v1-operator-unblock-packet-380308d1-2026-05-24.md,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-TOOL-V1-FINAL-PREFLIGHT;SOAR-TOOL-REPOSITORY-PATH-RESOLVER,SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-TESTING;SOAR-DOC-LOCAL-DEVELOPMENT,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Typed tooling view for V1 release gate runner."
SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK,Operator unblock packet validator,validator,verified_local,tooling,release,release-audit-tooling,"Fail-closed validator for latest V1 operator unblock packet and protected input readiness consistency.",scripts/checkOperatorUnblockPacket.mjs,history/artifacts/v1-operator-unblock-packet-380308d1-2026-05-24.json;history/artifacts/v1-protected-input-readiness-380308d1-2026-05-24.json,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-TOOL-REPOSITORY-PATH-RESOLVER,SOAR-WORKFLOW-RELEASE-AUDIT-TOOLING-CHAIN,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-TESTING,SOAR-AGENT-COORDINATOR,critical,100,2026-05-24,verified_local,"Typed tooling view for operator packet validator."
SOAR-TOOL-REUSABLE-AUDIT-CHECKERS,Reusable audit validators,validator,verified_local,tooling,audit,release-audit-tooling,"Reusable audit manifest handoff rollup remediation tooling index and rerun playbook validators using shared path resolution.",scripts/checkReusableAuditManifest.mjs,scripts/checkReusableAuditRerunPlaybook.mjs;scripts/checkFullReusableAuditHandoff.mjs;scripts/checkAuditRemediationPlan.mjs;scripts/checkFullReusableAuditRollup.mjs;scripts/checkReusableAuditToolingIndex.mjs,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-TOOL-REPOSITORY-PATH-RESOLVER,SOAR-WORKFLOW-RELEASE-AUDIT-TOOLING-CHAIN,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-TESTING,SOAR-AGENT-COORDINATOR,high,95,2026-05-24,verified_local,"Typed tooling view for reusable audit validators."
SOAR-SERVICE-MANUAL-CONTEXT,Manual order context service,service,verified,backend,api-orders,manual-order,"Read-only selected bot symbol and venue context service for manual order constraints.",apps/api/src/modules/orders/orders.manualContext.service.ts,,SOAR-FEATURE-MANUAL-ORDER,,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-SERVICE-ORDER-QUANTITY-RULES,SOAR-API-MANUAL-CONTEXT,,SOAR-API-MANUAL-CONTEXT,SOAR-DB-BOT;SOAR-DB-WALLET,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,,critical,100,2026-05-23,verified,"Typed service view."
