id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-FEATURE-AUTH-SESSION,Auth session,feature,verified,fullstack,auth,auth-session,"Login logout current-user and protected-route session lifecycle.",docs/architecture/traceability-matrix.md,docs/modules/api-auth.md;docs/modules/web-auth.md,,SOAR-PAGE-LOGIN;SOAR-API-AUTH-LOGIN;SOAR-API-AUTH-ME,SOAR-DOC-TRACEABILITY,SOAR-FEATURE-DASHBOARD-RUNTIME,SOAR-PAGE-LOGIN,SOAR-API-AUTH-LOGIN;SOAR-API-AUTH-ME,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-TRACEABILITY,,high,100,2026-05-14,verified,"Typed feature view; canonical row also lives in nodes.csv."
SOAR-FEATURE-DASHBOARD-RUNTIME,Dashboard runtime monitoring,feature,partially_verified,fullstack,dashboard-runtime,dashboard-runtime,"Selected bot runtime data across dashboard UI runtime APIs positions orders trades and market stream updates.",docs/architecture/traceability-matrix.md,docs/modules/web-dashboard-home.md;docs/modules/api-bots.md,,SOAR-PAGE-DASHBOARD;SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-DB-RUNTIME-SESSION,SOAR-FEATURE-AUTH-SESSION;SOAR-FEATURE-MANUAL-ORDER,SOAR-FEATURE-MANUAL-ORDER,SOAR-PAGE-DASHBOARD,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-TRACEABILITY,,high,85,2026-05-23,partially_verified,"Typed feature view; protected production readback remains access-gated."
SOAR-FEATURE-MANUAL-ORDER,Manual order execution,feature,verified,fullstack,manual-orders,manual-order,"Manual PAPER/LIVE order context placement validation lifecycle cancel and close mapping.",docs/architecture/traceability-matrix.md,docs/modules/api-orders.md;docs/architecture/06_execution-lifecycle.md,,SOAR-HOOK-MANUAL-ORDER-CONTROLLER;SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN;SOAR-SERVICE-ORDERS;SOAR-DB-ORDER,SOAR-FEATURE-DASHBOARD-RUNTIME;SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-FEATURE-DASHBOARD-RUNTIME,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,SOAR-DB-ORDER;SOAR-DB-POSITION;SOAR-DB-TRADE,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-EXECUTION-LIFECYCLE,,critical,95,2026-05-23,verified_local,"Typed feature view; LIVE mutation remains approval-gated."
SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,Architecture evidence graph system,feature,in_progress,documentation,architecture,architecture-map,"Obsidian-first living evidence graph mapping features functions components tests docs data dependencies and execution chains.",docs/architecture/architecture-evidence-graph-system.md,docs/architecture/registry/nodes.csv;docs/architecture/relations/dependencies.csv;docs/architecture/chains/chains.csv,,SOAR-DOC-TRACEABILITY;SOAR-DOC-CODEBASE-MAP,SOAR-DOC-TRACEABILITY;SOAR-DOC-CODEBASE-MAP,,SOAR-DOC-TRACEABILITY,,,SOAR-TEST-ARCHITECTURE-GRAPH,SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,SOAR-AGENT-COORDINATOR,medium,35,2026-05-24,implemented_not_verified,"First seed only; full repository backfill is required."
SOAR-FEATURE-WALLETS,Wallet management,feature,verified_local,fullstack,wallets,wallets,"Wallet lifecycle balance preview paper reset ledger analytics and trading-context prerequisite for bot creation.",docs/modules/api-wallets.md,docs/modules/web-wallets.md,,SOAR-PAGE-WALLETS-LIST;SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT;SOAR-PAGE-WALLET-PREVIEW;SOAR-API-WALLET-LIST;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-PREVIEW-BALANCE,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-WALLET,SOAR-FEATURE-BOT-RUNTIME;SOAR-FEATURE-MANUAL-ORDER,SOAR-COMP-WALLETS-LIST-TABLE;SOAR-COMP-WALLET-CREATE-EDIT-FORM;SOAR-COMP-WALLET-PREVIEW-PANEL,SOAR-API-WALLET-LIST;SOAR-API-WALLET-METADATA;SOAR-API-WALLET-PREVIEW-BALANCE;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-UPDATE;SOAR-API-WALLET-RESET-PAPER,SOAR-DB-WALLET;SOAR-DB-BOT;SOAR-DB-POSITION;SOAR-DB-ORDER,SOAR-TEST-WALLETS-API;SOAR-TEST-WALLETS-WEB;SOAR-TEST-WALLET-LEDGER,SOAR-DOC-API-WALLETS;SOAR-DOC-WEB-WALLETS,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Typed feature view for Wallets backfill."
SOAR-FEATURE-PROFILE-API-KEYS,Profile API Keys,feature,verified_local,fullstack,profile,profile-api-keys,"Authenticated exchange API-key lifecycle encrypted storage connection probes rotate revoke and wallet LIVE binding support.",docs/modules/api-profile.md,docs/modules/web-profile.md,,SOAR-PAGE-PROFILE;SOAR-COMP-API-KEYS-LIST;SOAR-COMP-API-KEY-FORM;SOAR-API-PROFILE-APIKEY-LIST;SOAR-API-PROFILE-APIKEY-CREATE;SOAR-API-PROFILE-APIKEY-TEST,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-API-KEY;SOAR-DB-USER,SOAR-FEATURE-WALLETS;SOAR-FEATURE-BOT-RUNTIME,SOAR-COMP-API-KEYS-LIST;SOAR-COMP-API-KEY-FORM,SOAR-API-PROFILE-APIKEY-LIST;SOAR-API-PROFILE-APIKEY-CREATE;SOAR-API-PROFILE-APIKEY-UPDATE;SOAR-API-PROFILE-APIKEY-DELETE;SOAR-API-PROFILE-APIKEY-TEST;SOAR-API-PROFILE-APIKEY-STORED-TEST;SOAR-API-PROFILE-APIKEY-ROTATE;SOAR-API-PROFILE-APIKEY-REVOKE,SOAR-DB-API-KEY;SOAR-DB-LOG;SOAR-DB-USER,SOAR-TEST-PROFILE-API-KEYS-API;SOAR-TEST-PROFILE-API-KEYS-WEB;SOAR-TEST-PROFILE-API-KEY-PROBE,SOAR-DOC-API-PROFILE;SOAR-DOC-WEB-PROFILE,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Typed feature view for Profile API Keys backfill."
SOAR-FEATURE-RELEASE-AUDIT-TOOLING,Release and audit tooling evidence,feature,verified_local,tooling,release,release-audit-tooling,"Release gate operator packet reusable audit and repository path resolution tooling mapped as graph evidence.",history/tasks/operator-unblock-default-current-packet-2026-05-24-task.md,history/tasks/reusable-audit-history-path-resolver-2026-05-24-task.md;history/tasks/operator-unblock-readiness-consistency-2026-05-24-task.md,SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,SOAR-TOOL-V1-FINAL-PREFLIGHT;SOAR-TOOL-V1-RELEASE-GATE;SOAR-TOOL-REPOSITORY-PATH-RESOLVER;SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK;SOAR-TOOL-REUSABLE-AUDIT-CHECKERS;SOAR-TEST-RELEASE-AUDIT-TOOLING;SOAR-WORKFLOW-RELEASE-AUDIT-TOOLING-CHAIN,SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING,SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING;SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,SOAR-AGENT-COORDINATOR,critical,92,2026-05-24,verified_local,"Typed feature view for release audit tooling backfill."
SOAR-FEATURE-BOT-SETUP,Bot setup and topology,feature,verified_local,fullstack,bots,bot-setup,"Bot lifecycle setup across list create edit delete wallet-first context strategy market-universe topology activation policy and canonical links.",docs/modules/api-bots.md,docs/modules/web-bots.md,,SOAR-PAGE-BOTS-LIST;SOAR-PAGE-BOT-CREATE;SOAR-PAGE-BOT-EDIT;SOAR-COMP-BOTS-LIST-TABLE;SOAR-COMP-BOT-CREATE-EDIT-FORM;SOAR-API-BOT-LIST;SOAR-API-BOT-CREATE;SOAR-API-BOT-UPDATE,SOAR-FEATURE-WALLETS;SOAR-FEATURE-PROFILE-API-KEYS;SOAR-FEATURE-BOT-RUNTIME,SOAR-FEATURE-BOT-RUNTIME;SOAR-FEATURE-MANUAL-ORDER,SOAR-COMP-BOTS-LIST-TABLE;SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-LIST;SOAR-API-BOT-GET;SOAR-API-BOT-CREATE;SOAR-API-BOT-UPDATE;SOAR-API-BOT-DELETE;SOAR-API-BOT-MARKET-GROUPS-LIST;SOAR-API-BOT-MARKET-GROUP-CREATE;SOAR-API-BOT-MARKET-GROUP-STRATEGY-ATTACH,SOAR-DB-BOT;SOAR-DB-WALLET;SOAR-DB-API-KEY;SOAR-DB-STRATEGY;SOAR-DB-MARKET-UNIVERSE;SOAR-DB-BOT-MARKET-GROUP;SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-BOT-SETUP-API;SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Typed feature view for Bot Setup backfill."
SOAR-FEATURE-STRATEGIES,Strategy authoring and indicators,feature,verified_local,fullstack,strategies,strategies,"Strategy CRUD import export indicator catalog config validation presets and bot/backtest reference protection.",docs/modules/api-strategies.md,docs/modules/web-strategies.md,,SOAR-PAGE-STRATEGIES-LIST;SOAR-PAGE-STRATEGY-CREATE;SOAR-PAGE-STRATEGY-EDIT;SOAR-COMP-STRATEGY-FORM;SOAR-API-STRATEGY-LIST;SOAR-API-STRATEGY-CREATE;SOAR-API-STRATEGY-UPDATE;SOAR-API-STRATEGY-DELETE;SOAR-API-STRATEGY-INDICATORS,SOAR-DB-STRATEGY;SOAR-FEATURE-BOT-SETUP,SOAR-FEATURE-BOT-SETUP;SOAR-FEATURE-BOT-RUNTIME,SOAR-COMP-STRATEGIES-LIST;SOAR-COMP-STRATEGY-FORM;SOAR-COMP-STRATEGY-PRESET-PICKER,SOAR-API-STRATEGY-LIST;SOAR-API-STRATEGY-GET;SOAR-API-STRATEGY-CREATE;SOAR-API-STRATEGY-UPDATE;SOAR-API-STRATEGY-DELETE;SOAR-API-STRATEGY-IMPORT;SOAR-API-STRATEGY-EXPORT;SOAR-API-STRATEGY-INDICATORS,SOAR-DB-STRATEGY;SOAR-DB-BOT;SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-STRATEGIES-API;SOAR-TEST-STRATEGY-INDICATORS;SOAR-TEST-STRATEGIES-WEB;SOAR-TEST-STRATEGY-FORM-UTILS,SOAR-DOC-API-STRATEGIES;SOAR-DOC-WEB-STRATEGIES,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Typed feature view for Strategies backfill."
SOAR-FEATURE-MARKETS,Market universe authoring,feature,verified_local,fullstack,markets,markets,"Market universe CRUD exchange catalog symbol composition active-bot guard and backtest-history reference protection.",docs/modules/api-markets.md,docs/modules/web-markets.md,,SOAR-PAGE-MARKETS-LIST;SOAR-PAGE-MARKET-CREATE;SOAR-PAGE-MARKET-EDIT;SOAR-COMP-MARKET-UNIVERSE-FORM;SOAR-API-MARKET-UNIVERSE-LIST;SOAR-API-MARKET-UNIVERSE-CREATE;SOAR-API-MARKET-UNIVERSE-UPDATE;SOAR-API-MARKET-CATALOG,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-MARKET-UNIVERSE,SOAR-FEATURE-BOT-SETUP;SOAR-FEATURE-BOT-RUNTIME;SOAR-FEATURE-STRATEGIES,SOAR-COMP-MARKET-UNIVERSES-TABLE;SOAR-COMP-MARKET-UNIVERSE-FORM;SOAR-COMP-MARKET-SEARCHABLE-MULTISELECT,SOAR-API-MARKET-UNIVERSE-LIST;SOAR-API-MARKET-UNIVERSE-GET;SOAR-API-MARKET-CATALOG;SOAR-API-MARKET-UNIVERSE-CREATE;SOAR-API-MARKET-UNIVERSE-UPDATE;SOAR-API-MARKET-UNIVERSE-DELETE,SOAR-DB-MARKET-UNIVERSE;SOAR-DB-SYMBOL-GROUP;SOAR-DB-BOT;SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-MARKETS-API;SOAR-TEST-MARKETS-WEB,SOAR-DOC-API-MARKETS;SOAR-DOC-WEB-MARKETS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Typed feature view for Markets backfill."
