id,source_node_id,action_source,action_kind,route_or_entrypoint,label_or_selector_hint,feature,module,safety_boundary,page_nodes,ui_nodes,api_routes,function_chains,backend_functions,data_models,tests,docs,evidence,proof_status,gaps,gap_severity,risk_level,last_verified_at,next_validation
SOAR-ACTION-UI-LOGIN-SUBMIT,SOAR-UI-LOGIN-SUBMIT,explicit_ui_element,mutation_submit,apps/web/src/features/auth/components/LoginForm.tsx,Login submit button,auth-session,web-auth,public; mutation,SOAR-PAGE-LOGIN,SOAR-UI-LOGIN-SUBMIT,SOAR-API-AUTH-LOGIN,CHAIN-AUTH-SESSION; CHAIN-AUTH-SESSION-DEEP,SOAR-SERVICE-WEB-AUTH; SOAR-CONTROLLER-AUTH; SOAR-SERVICE-AUTH; SOAR-SERVICE-AUTH-COOKIE; SOAR-SERVICE-AUTH-JWT; SOAR-SERVICE-AUTH-ERRORS; SOAR-SERVICE-AUTH-SESSION-TOKEN,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION; SOAR-TEST-WEB-AUTH-FORMS; SOAR-TEST-WEB-AUTH-HOOKS; SOAR-TEST-WEB-AUTH-CONTEXT; SOAR-TEST-WEB-AUTH-PUBLIC; SOAR-TEST-WEB-AUTH-FORM-TYPES; SOAR-TEST-API-AUTH-SESSION-DEEP; SOAR-TEST-API-AUTH-SERVICE; SOAR-TEST-API-AUTH-COOKIE; SOAR-TEST-API-AUTH-JWT; SOAR-TEST-API-AUTH-ERRORS,SOAR-DOC-WEB-AUTH; SOAR-DOC-TRACEABILITY; SOAR-DOC-API-AUTH; SOAR-DOC-DATA-MODEL,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md; history/tasks/architecture-graph-auth-session-deep-backfill-2026-05-24-task.md; apps/web/src/features/auth/components/LoginForm.tsx,verified_local_only,,none,medium,2026-05-14,Re-run linked tests and journey proof after touching this action path.
SOAR-ACTION-UI-MANUAL-ORDER-SUBMIT,SOAR-UI-MANUAL-ORDER-SUBMIT,explicit_ui_element,mutation_submit,/dashboard,Manual order submit control,manual-order,web-dashboard-home,protected; money_or_exchange; mutation,SOAR-PAGE-DASHBOARD,SOAR-UI-MANUAL-ORDER-SUBMIT,SOAR-API-ORDER-OPEN,CHAIN-MANUAL-ORDER; CHAIN-MANUAL-ORDER-DEEP,SOAR-SERVICE-ORDERS; SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-ORDERS; SOAR-SERVICE-MANUAL-CONTEXT; SOAR-SERVICE-ORDER-QUANTITY-RULES; SOAR-SERVICE-PRETRADE; SOAR-SERVICE-EXECUTION-ORCHESTRATOR; SOAR-SERVICE-ORDER-LIFECYCLE; SOAR-SERVICE-ORDER-EXCHANGE-EVENTS,SOAR-DB-ORDER; SOAR-DB-POSITION; SOAR-DB-TRADE; SOAR-DB-ORDER-FILL,SOAR-TEST-MANUAL-ORDER; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E; SOAR-TEST-ORDER-QUANTITY-RULES; SOAR-TEST-ORDER-EXCHANGE-EVENTS; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-SERVICE-ORDER-QUANTITY-RULES,SOAR-DOC-WEB-DASHBOARD-HOME; SOAR-DOC-EXECUTION-LIFECYCLE; SOAR-DOC-API-ORDERS; SOAR-DOC-WEB-ORDERS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,history/audits/live-exchange-execution-parity-2026-05-23-task.md; apps/web/src/features/dashboard-home/components/HomeLiveWidgets.tsx; apps/web/src/features/dashboard-home/hooks/useManualOrderController.ts,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,critical,2026-05-23,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-UI-PASSWORD-VISIBILITY-TOGGLE,SOAR-UI-PASSWORD-VISIBILITY-TOGGLE,explicit_ui_element,ui_interaction,apps/web/src/features/auth/components/PasswordVisibilityToggle.tsx,PasswordVisibilityToggle,auth-session,web-auth,read_or_navigation,,SOAR-UI-PASSWORD-VISIBILITY-TOGGLE,,CHAIN-AUTH-SESSION-DEEP,SOAR-SERVICE-WEB-AUTH; SOAR-CONTROLLER-AUTH; SOAR-SERVICE-AUTH; SOAR-SERVICE-AUTH-COOKIE; SOAR-SERVICE-AUTH-JWT; SOAR-SERVICE-AUTH-ERRORS; SOAR-SERVICE-AUTH-SESSION-TOKEN,SOAR-DB-USER,SOAR-TEST-WEB-AUTH-FORMS; SOAR-TEST-WEB-AUTH-HOOKS; SOAR-TEST-WEB-AUTH-CONTEXT; SOAR-TEST-WEB-AUTH-PUBLIC; SOAR-TEST-WEB-AUTH-FORM-TYPES; SOAR-TEST-API-AUTH-SESSION-DEEP; SOAR-TEST-API-AUTH-SERVICE; SOAR-TEST-API-AUTH-COOKIE; SOAR-TEST-API-AUTH-JWT; SOAR-TEST-API-AUTH-ERRORS; SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH; SOAR-DOC-API-AUTH; SOAR-DOC-TRACEABILITY; SOAR-DOC-DATA-MODEL,history/tasks/architecture-graph-auth-session-deep-backfill-2026-05-24-task.md; apps/web/src/features/auth/components/PasswordVisibilityToggle.tsx,verified_local_only,no_page_entrypoint_relation; local_only_without_fresh_browser_or_production_proof,high,medium,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-ADMIN-ROOT,SOAR-PAGE-ADMIN-ROOT,inferred_route_visit,route_visit,/admin,Admin root redirect,subscriptions-admin,web-admin,protected; read_or_navigation,SOAR-PAGE-ADMIN-ROOT; SOAR-PAGE-ADMIN-SUBSCRIPTIONS,SOAR-COMP-ADMIN-LAYOUT-SHELL,SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST,CHAIN-SUBSCRIPTIONS-ADMIN,SOAR-SERVICE-WEB-ADMIN-SUBSCRIPTIONS; SOAR-CONTROLLER-ADMIN-SUBSCRIPTION-PLANS; SOAR-TYPES-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-WEB-ADMIN-USERS; SOAR-CONTROLLER-ADMIN-USERS; SOAR-TYPES-ADMIN-USERS; SOAR-SERVICE-ADMIN-USERS; SOAR-SERVICE-WEB-PROFILE-SUBSCRIPTION; SOAR-CONTROLLER-PROFILE-SUBSCRIPTION; SOAR-SERVICE-PROFILE-SUBSCRIPTION; SOAR-SERVICE-SUBSCRIPTIONS; SOAR-SERVICE-SUBSCRIPTION-ENTITLEMENTS; SOAR-SERVICE-PAYMENT-CHECKOUT,SOAR-DB-SUBSCRIPTION-PLAN; SOAR-DB-USER-SUBSCRIPTION; SOAR-DB-PAYMENT-INTENT; SOAR-DB-USER,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB; SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS; SOAR-TEST-AUTH-SESSION; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-ADMIN; SOAR-DOC-API-ADMIN; SOAR-DOC-API-SUBSCRIPTIONS; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-admin.md;docs/modules/api-subscriptions.md;docs/modules/web-admin.md; apps/web/src/app/admin/layout.tsx; apps/web/src/app/admin/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,medium,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-ADMIN-SUBSCRIPTIONS,SOAR-PAGE-ADMIN-SUBSCRIPTIONS,inferred_route_visit,mutation_submit,/admin/subscriptions,Admin subscriptions page,subscriptions-admin,web-admin,protected; mutation,SOAR-PAGE-ADMIN-ROOT; SOAR-PAGE-ADMIN-SUBSCRIPTIONS,SOAR-COMP-ADMIN-SUBSCRIPTIONS-PAGE,SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST; SOAR-API-ADMIN-SUBSCRIPTION-PLAN-UPDATE,CHAIN-SUBSCRIPTIONS-ADMIN,SOAR-SERVICE-WEB-ADMIN-SUBSCRIPTIONS; SOAR-CONTROLLER-ADMIN-SUBSCRIPTION-PLANS; SOAR-TYPES-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-WEB-ADMIN-USERS; SOAR-CONTROLLER-ADMIN-USERS; SOAR-TYPES-ADMIN-USERS; SOAR-SERVICE-ADMIN-USERS; SOAR-SERVICE-WEB-PROFILE-SUBSCRIPTION; SOAR-CONTROLLER-PROFILE-SUBSCRIPTION; SOAR-SERVICE-PROFILE-SUBSCRIPTION; SOAR-SERVICE-SUBSCRIPTIONS; SOAR-SERVICE-SUBSCRIPTION-ENTITLEMENTS; SOAR-SERVICE-PAYMENT-CHECKOUT,SOAR-DB-SUBSCRIPTION-PLAN; SOAR-DB-USER-SUBSCRIPTION; SOAR-DB-PAYMENT-INTENT; SOAR-DB-USER,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB; SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS; SOAR-TEST-AUTH-SESSION; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-ADMIN; SOAR-DOC-API-ADMIN; SOAR-DOC-API-SUBSCRIPTIONS; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-admin.md;docs/modules/api-subscriptions.md;docs/modules/web-admin.md; apps/web/src/features/admin/subscriptions/pages/AdminSubscriptionsPage.tsx; apps/web/src/app/admin/subscriptions/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,critical,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-ADMIN-USERS,SOAR-PAGE-ADMIN-USERS,inferred_route_visit,mutation_submit,/admin/users,Admin users page,subscriptions-admin,web-admin,protected; mutation,SOAR-PAGE-ADMIN-USERS,SOAR-COMP-ADMIN-USERS-PAGE,SOAR-API-ADMIN-USERS-LIST; SOAR-API-ADMIN-USERS-UPDATE,CHAIN-SUBSCRIPTIONS-ADMIN,SOAR-SERVICE-WEB-ADMIN-SUBSCRIPTIONS; SOAR-CONTROLLER-ADMIN-SUBSCRIPTION-PLANS; SOAR-TYPES-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-WEB-ADMIN-USERS; SOAR-CONTROLLER-ADMIN-USERS; SOAR-TYPES-ADMIN-USERS; SOAR-SERVICE-ADMIN-USERS; SOAR-SERVICE-WEB-PROFILE-SUBSCRIPTION; SOAR-CONTROLLER-PROFILE-SUBSCRIPTION; SOAR-SERVICE-PROFILE-SUBSCRIPTION; SOAR-SERVICE-SUBSCRIPTIONS; SOAR-SERVICE-SUBSCRIPTION-ENTITLEMENTS; SOAR-SERVICE-PAYMENT-CHECKOUT,SOAR-DB-USER; SOAR-DB-USER-SUBSCRIPTION; SOAR-DB-SUBSCRIPTION-PLAN; SOAR-DB-PAYMENT-INTENT,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB; SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS; SOAR-TEST-AUTH-SESSION; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-ADMIN; SOAR-DOC-API-ADMIN; SOAR-DOC-API-SUBSCRIPTIONS; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-admin.md;docs/modules/api-subscriptions.md;docs/modules/web-admin.md; apps/web/src/features/admin/users/pages/AdminUsersPage.tsx; apps/web/src/app/admin/users/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,critical,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-BACKTEST-CREATE,SOAR-PAGE-BACKTEST-CREATE,inferred_route_visit,mutation_submit,/dashboard/backtests/create,Backtest create page,backtests,web-backtest,protected; mutation,SOAR-PAGE-BACKTEST-CREATE,SOAR-COMP-BACKTEST-CREATE-FORM,SOAR-API-BACKTEST-RUN-CREATE,CHAIN-BACKTESTS,SOAR-SERVICE-WEB-BACKTESTS; SOAR-SERVICE-BACKTEST-WEB-VIEWMODEL; SOAR-CONTROLLER-BACKTESTS; SOAR-TYPES-BACKTESTS; SOAR-SERVICE-BACKTESTS; SOAR-SERVICE-BACKTEST-RANGE; SOAR-SERVICE-BACKTEST-RUN-JOB; SOAR-SERVICE-BACKTEST-DATA-GATEWAY; SOAR-SERVICE-BACKTEST-REPLAY-CORE; SOAR-SERVICE-BACKTEST-FILL-MODEL; SOAR-SERVICE-BACKTEST-REPORT-LIFECYCLE; SOAR-SERVICE-BACKTEST-STRATEGY-SNAPSHOTS,SOAR-DB-BACKTEST-RUN; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE; SOAR-DB-BACKTEST-TRADE; SOAR-DB-BACKTEST-REPORT,SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS; SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB,SOAR-DOC-WEB-BACKTESTS; SOAR-DOC-API-BACKTESTS; SOAR-DOC-API-STRATEGIES; SOAR-DOC-WEB-STRATEGIES; SOAR-DOC-API-MARKETS; SOAR-DOC-WEB-MARKETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-REPORTS; SOAR-DOC-WEB-REPORTS,docs/modules/api-backtests.md;docs/modules/web-backtest.md; apps/web/src/features/backtest/components/BacktestCreateForm.tsx; apps/web/src/app/dashboard/backtests/create/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,critical,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-BACKTEST-DETAIL,SOAR-PAGE-BACKTEST-DETAIL,inferred_route_visit,route_visit,/dashboard/backtests/:id,Backtest detail page,backtests,web-backtest,protected; read_or_navigation,SOAR-PAGE-BACKTEST-DETAIL,SOAR-COMP-BACKTEST-RUN-DETAILS,SOAR-API-BACKTEST-RUN-GET; SOAR-API-BACKTEST-RUN-TRADES; SOAR-API-BACKTEST-RUN-REPORT; SOAR-API-BACKTEST-RUN-TIMELINE,CHAIN-BACKTESTS; CHAIN-REPORTS,SOAR-SERVICE-WEB-BACKTESTS; SOAR-SERVICE-BACKTEST-WEB-VIEWMODEL; SOAR-CONTROLLER-BACKTESTS; SOAR-TYPES-BACKTESTS; SOAR-SERVICE-BACKTESTS; SOAR-SERVICE-BACKTEST-RANGE; SOAR-SERVICE-BACKTEST-RUN-JOB; SOAR-SERVICE-BACKTEST-DATA-GATEWAY; SOAR-SERVICE-BACKTEST-REPLAY-CORE; SOAR-SERVICE-BACKTEST-FILL-MODEL; SOAR-SERVICE-BACKTEST-REPORT-LIFECYCLE; SOAR-SERVICE-BACKTEST-STRATEGY-SNAPSHOTS; SOAR-SERVICE-WEB-REPORTS; SOAR-CONTROLLER-REPORTS; SOAR-SERVICE-REPORTS; SOAR-SERVICE-REPORT-MODE-AGGREGATOR,SOAR-DB-BACKTEST-RUN; SOAR-DB-BACKTEST-TRADE; SOAR-DB-BACKTEST-REPORT; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE; SOAR-DB-TRADE; SOAR-DB-BOT,SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB; SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS; SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-BACKTESTS; SOAR-DOC-API-BACKTESTS; SOAR-DOC-API-REPORTS; SOAR-DOC-WEB-REPORTS; SOAR-DOC-API-STRATEGIES; SOAR-DOC-WEB-STRATEGIES; SOAR-DOC-API-MARKETS; SOAR-DOC-WEB-MARKETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,docs/modules/api-backtests.md;docs/modules/web-backtest.md; docs/modules/api-reports.md;docs/modules/web-reports.md; apps/web/src/features/backtest/components/BacktestRunDetails.tsx; apps/web/src/app/dashboard/backtests/[id]/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,critical,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-BACKTESTS-LIST,SOAR-PAGE-BACKTESTS-LIST,inferred_route_visit,destructive_submit,/dashboard/backtests/list,Backtests list page,backtests,web-backtest,protected; destructive,SOAR-PAGE-BACKTESTS-LIST,SOAR-COMP-BACKTESTS-LIST-VIEW,SOAR-API-BACKTEST-RUN-LIST; SOAR-API-BACKTEST-RUN-DELETE,CHAIN-BACKTESTS; CHAIN-REPORTS,SOAR-SERVICE-WEB-BACKTESTS; SOAR-SERVICE-BACKTEST-WEB-VIEWMODEL; SOAR-CONTROLLER-BACKTESTS; SOAR-TYPES-BACKTESTS; SOAR-SERVICE-BACKTESTS; SOAR-SERVICE-BACKTEST-RANGE; SOAR-SERVICE-BACKTEST-RUN-JOB; SOAR-SERVICE-BACKTEST-DATA-GATEWAY; SOAR-SERVICE-BACKTEST-REPLAY-CORE; SOAR-SERVICE-BACKTEST-FILL-MODEL; SOAR-SERVICE-BACKTEST-REPORT-LIFECYCLE; SOAR-SERVICE-BACKTEST-STRATEGY-SNAPSHOTS; SOAR-SERVICE-WEB-REPORTS; SOAR-CONTROLLER-REPORTS; SOAR-SERVICE-REPORTS; SOAR-SERVICE-REPORT-MODE-AGGREGATOR,SOAR-DB-BACKTEST-RUN; SOAR-DB-BACKTEST-TRADE; SOAR-DB-BACKTEST-REPORT; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE; SOAR-DB-TRADE; SOAR-DB-BOT,SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB; SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS; SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-BACKTESTS; SOAR-DOC-API-BACKTESTS; SOAR-DOC-API-REPORTS; SOAR-DOC-WEB-REPORTS; SOAR-DOC-API-STRATEGIES; SOAR-DOC-WEB-STRATEGIES; SOAR-DOC-API-MARKETS; SOAR-DOC-WEB-MARKETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,docs/modules/api-backtests.md;docs/modules/web-backtest.md; docs/modules/api-reports.md;docs/modules/web-reports.md; apps/web/src/features/backtest/components/BacktestsListView.tsx; apps/web/src/app/dashboard/backtests/list/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,high,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
SOAR-ACTION-VISIT-PAGE-BOT-ASSISTANT,SOAR-PAGE-BOT-ASSISTANT,inferred_route_visit,route_visit,/dashboard/bots/:id/assistant,Bot assistant page,ai-assistant-foundation,web-bots,protected; read_or_navigation,SOAR-PAGE-BOT-ASSISTANT,SOAR-COMP-BOTS-ASSISTANT-TAB,SOAR-API-BOT-ASSISTANT-CONFIG-GET; SOAR-API-BOT-ASSISTANT-DRY-RUN,CHAIN-AI-ASSISTANT-FOUNDATION,SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-BOTS; SOAR-SERVICE-BOT-ASSISTANT; SOAR-SERVICE-ASSISTANT-ORCHESTRATOR,SOAR-DB-BOT-ASSISTANT-CONFIG; SOAR-DB-BOT-SUBAGENT-CONFIG; SOAR-DB-BOT,SOAR-TEST-AI-ASSISTANT-WEB; SOAR-TEST-AI-ASSISTANT-API; SOAR-TEST-AI-ASSISTANT-ORCHESTRATOR; SOAR-TEST-AI-PROTOCOL-HARNESS; SOAR-TEST-BOT-RUNTIME-WEB; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-DOC-ASSISTANT-RUNTIME,SOAR-DOC-WEB-BOTS; SOAR-DOC-ASSISTANT-RUNTIME; SOAR-DOC-ASSISTANT-RUNTIME-CONTRACT; SOAR-DOC-AI-TESTING-PROTOCOL; SOAR-DOC-AI-INTEGRATION; SOAR-DOC-WEB-ORDERS; SOAR-DOC-API-BOTS; SOAR-DOC-DATA-MODEL; SOAR-AGENT-AI-RED-TEAM,history/tasks/ai-assistant-foundation-protocol-harness-2026-05-23-task.md; apps/web/src/app/dashboard/bots/assistant/page.tsx; apps/web/src/app/dashboard/bots/[id]/assistant/page.tsx,verified_local_only,local_only_without_fresh_browser_or_production_proof; protected_or_money_path_needs_fresh_browser_or_production_proof,high,high,2026-05-24,Run or add browser/API proof for this action before claiming end-to-end behavior.
