id,feature,name,trigger,status,weakest_node_status,entry_pages,ui_nodes,api_routes,functions,data_models,tests,docs,evidence,gaps,gap_severity,risk_level,last_verified_at,notes
CHAIN-AUTH-SESSION,auth-session,Auth session login chain,SOAR-PAGE-LOGIN,verified,verified,SOAR-PAGE-LOGIN,SOAR-PAGE-LOGIN; SOAR-COMP-LOGIN-FORM,SOAR-API-AUTH-LOGIN; SOAR-API-AUTH-ME,,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-TRACEABILITY; SOAR-DOC-API-AUTH; SOAR-DOC-WEB-AUTH; SOAR-DOC-DATA-MODEL,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md,,none,high,2026-05-14,Seed chain for auth.
CHAIN-DASHBOARD-RUNTIME,dashboard-runtime,Dashboard runtime monitoring chain,SOAR-PAGE-DASHBOARD,partially_verified,partially_verified,SOAR-PAGE-DASHBOARD,SOAR-PAGE-DASHBOARD; SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-DB-RUNTIME-SESSION; SOAR-DB-POSITION,SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-TRACEABILITY; SOAR-DOC-WEB-DASHBOARD-HOME; SOAR-DOC-API-BOTS; SOAR-DOC-DATA-MODEL,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.runtime-table-audit.test.tsx,missing_proof:Fresh authenticated browser proof after public reachability restore; partial_chain_status,high,high,2026-05-23,Do not claim current production dashboard behavior from local tests alone.
CHAIN-MANUAL-ORDER,manual-order,Manual order execution chain,SOAR-COMP-HOME-LIVE-WIDGETS,verified_local,partially_verified,,SOAR-COMP-HOME-LIVE-WIDGETS; SOAR-HOOK-MANUAL-ORDER-CONTROLLER,SOAR-API-MANUAL-CONTEXT; SOAR-API-ORDER-OPEN,SOAR-HOOK-MANUAL-ORDER-CONTROLLER; SOAR-SERVICE-ORDERS,SOAR-DB-ORDER; SOAR-DB-POSITION; SOAR-DB-TRADE,SOAR-TEST-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-RUNTIME-DCA-PNL,SOAR-DOC-EXECUTION-LIFECYCLE; SOAR-DOC-API-ORDERS; SOAR-DOC-WEB-DASHBOARD-HOME; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,history/audits/live-exchange-execution-parity-2026-05-23-task.md,no_page_entrypoint; missing_proof:Approval-gated LIVE mutation proof; production_or_browser_proof_not_implied,high,critical,2026-05-23,Local proof exists; live-money actions remain gated.
CHAIN-RUNTIME-DCA-PNL,runtime-dca-pnl,Runtime DCA exchange PnL chain,SOAR-FEATURE-RUNTIME-DCA-PNL,verified_local,verified_local,,,,SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-DB-POSITION,SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-POSITION-PNL-LIFECYCLE; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,history/tasks/runtime-dca-exchange-pnl-threshold-2026-05-23-task.md,missing_proof:Protected production readback; production_or_browser_proof_not_implied,high,critical,2026-05-23,Systemic chain for the latest DCA threshold repair.
CHAIN-MANUAL-ORDER-DEEP,manual-order,Manual order deep execution chain,SOAR-COMP-HOME-LIVE-WIDGETS,verified_local,partially_verified,,SOAR-COMP-HOME-LIVE-WIDGETS; SOAR-HOOK-MANUAL-ORDER-CONTROLLER,SOAR-API-MANUAL-CONTEXT; SOAR-API-ORDER-OPEN,SOAR-HOOK-MANUAL-ORDER-CONTROLLER; SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-ORDERS; SOAR-SERVICE-ORDERS; SOAR-SERVICE-MANUAL-CONTEXT; SOAR-SERVICE-ORDER-QUANTITY-RULES; SOAR-SERVICE-PRETRADE; SOAR-SERVICE-EXECUTION-ORCHESTRATOR; SOAR-SERVICE-ORDER-LIFECYCLE; SOAR-SERVICE-ORDER-EXCHANGE-EVENTS,SOAR-DB-ORDER; SOAR-DB-ORDER-FILL; SOAR-DB-POSITION; SOAR-DB-TRADE,SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E; SOAR-TEST-ORDER-QUANTITY-RULES; SOAR-TEST-ORDER-EXCHANGE-EVENTS; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-SERVICE-ORDER-QUANTITY-RULES,SOAR-DOC-WEB-ORDERS; SOAR-DOC-API-ORDERS; SOAR-DOC-EXECUTION-LIFECYCLE; SOAR-DOC-WEB-DASHBOARD-HOME; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,history/audits/live-exchange-execution-parity-2026-05-23-task.md,no_page_entrypoint; missing_proof:Protected production manual/bot readback and approval-gated LIVE mutation proof; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled P0 manual order chain across UI service API controller DTO service pretrade exchange lifecycle DB tests and docs.
CHAIN-POSITIONS-CORE,positions,Positions read reconciliation and manual update chain,SOAR-COMP-RUNTIME-DATA-SECTION,verified_local,partially_verified,SOAR-PAGE-POSITIONS-LEGACY; SOAR-PAGE-DASHBOARD,SOAR-PAGE-POSITIONS-LEGACY; SOAR-PAGE-DASHBOARD; SOAR-COMP-HOME-LIVE-WIDGETS; SOAR-COMP-RUNTIME-DATA-SECTION; SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-API-POSITION-LIST; SOAR-API-POSITION-GET; SOAR-API-POSITION-MANUAL-UPDATE; SOAR-API-POSITION-EXCHANGE-SNAPSHOT; SOAR-API-POSITION-LIVE-STATUS; SOAR-API-POSITION-TAKEOVER-STATUS; SOAR-API-POSITION-TAKEOVER-REBIND; SOAR-API-POSITION-ORPHAN-REPAIR,SOAR-WEB-POSITIONS-SERVICE; SOAR-CONTROLLER-POSITIONS; SOAR-SERVICE-POSITIONS; SOAR-SERVICE-POSITION-SNAPSHOT-NORMALIZATION; SOAR-SERVICE-LIVE-POSITION-RECONCILIATION; SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-DB-POSITION; SOAR-DB-ORDER; SOAR-DB-TRADE,SOAR-TEST-WEB-POSITIONS; SOAR-TEST-POSITIONS-SERVICE; SOAR-TEST-POSITIONS-SNAPSHOT; SOAR-TEST-POSITIONS-RECONCILIATION; SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-WEB-POSITIONS; SOAR-DOC-API-POSITIONS; SOAR-DOC-LIVE-POSITION-RESTART; SOAR-DOC-DASHBOARD-ROUTE-MAP; SOAR-DOC-WEB-DASHBOARD-HOME; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-POSITION-PNL-LIFECYCLE; SOAR-DOC-DATA-MODEL,history/evidence/v1-positions-local-proof-task-2026-05-11.md,missing_proof:Fresh production-safe positions clickthrough and protected LIVE readback remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled P0 positions chain across legacy route runtime UI Web service API controller DTO service exchange snapshot reconciliation DB tests and docs.
CHAIN-BOT-RUNTIME-CORE,bot-runtime,Bot Runtime monitoring core chain,SOAR-PAGE-BOT-RUNTIME,verified_local,partially_verified,SOAR-PAGE-BOT-RUNTIME,SOAR-PAGE-BOT-RUNTIME; SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-RUNTIME-AGGREGATE; SOAR-API-BOT-RUNTIME-SESSIONS; SOAR-API-BOT-RUNTIME-SESSION-GET; SOAR-API-BOT-RUNTIME-SYMBOL-STATS; SOAR-API-BOT-RUNTIME-POSITIONS; SOAR-API-BOT-RUNTIME-TRADES; SOAR-API-BOT-RUNTIME-CLOSE-POSITION,SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-BOTS; SOAR-SERVICE-RUNTIME-AGGREGATE; SOAR-SERVICE-RUNTIME-SESSIONS; SOAR-SERVICE-RUNTIME-SYMBOL-STATS; SOAR-SERVICE-RUNTIME-POSITIONS-READ; SOAR-SERVICE-RUNTIME-TRADES; SOAR-SERVICE-RUNTIME-POSITION-COMMAND; SOAR-SERVICE-LIVE-POSITION-RECONCILIATION; SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-DB-RUNTIME-SESSION; SOAR-DB-POSITION; SOAR-DB-ORDER; SOAR-DB-TRADE,SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-POSITIONS-RECONCILIATION; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS; SOAR-DOC-WEB-ORDERS; SOAR-DOC-LIVE-POSITION-RESTART; SOAR-DOC-API-POSITIONS; SOAR-DOC-POSITION-PNL-LIFECYCLE; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,history/audits/bots-runtime-truth-audit-2026-05-19.md,missing_proof:Fresh authenticated production runtime readback remains separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled P0 Bot Runtime monitoring chain across route UI Web service aggregate routes controller DTO read services command service DB tests and docs.
CHAIN-RELEASE-AUDIT-TOOLING,release-audit-tooling,Release audit tooling evidence chain,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,verified_local,verified_local,,,,SOAR-TOOL-REPOSITORY-PATH-RESOLVER; SOAR-TOOL-V1-FINAL-PREFLIGHT; SOAR-TOOL-V1-RELEASE-GATE; SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK; SOAR-TOOL-REUSABLE-AUDIT-CHECKERS,,SOAR-TEST-RELEASE-AUDIT-TOOLING; SOAR-TEST-GUARDRAILS; SOAR-DOC-TESTING; SOAR-DOC-LOCAL-DEVELOPMENT,SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-TESTING; SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,history/tasks/operator-unblock-default-current-packet-2026-05-24-task.md;history/tasks/reusable-audit-history-path-resolver-2026-05-24-task.md;history/releases/v1-preflight-production-no-secret-refresh-2026-05-24.md,missing_proof:Protected production input proof remains blocked by missing operator-provided environment names; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled release audit tooling chain across preflight release gate artifacts validators resolver tests docs and graph workflow.
CHAIN-EXCHANGE-ADAPTER-DEEP,exchange-adapter,Exchange adapter deep capability and connector chain,SOAR-FEATURE-EXCHANGE-ADAPTER,verified_local,verified_local,,,,SOAR-SERVICE-EXCHANGE-CAPABILITIES; SOAR-SERVICE-EXCHANGE-EXECUTION-CAPABILITY; SOAR-SERVICE-EXCHANGE-AUTH-READ-CONTRACT; SOAR-SERVICE-EXCHANGE-AUTH-READ; SOAR-SERVICE-EXCHANGE-ADAPTER-BOUNDARY; SOAR-SERVICE-LIVE-ORDER-ADAPTER; SOAR-SERVICE-LIVE-FEE-RECONCILIATION; SOAR-SERVICE-EXCHANGE-SYMBOL-RULES; SOAR-SERVICE-EXCHANGE-PUBLIC-READ; SOAR-SERVICE-EXCHANGE-PUBLIC-MARKET-DATA; SOAR-SERVICE-EXCHANGE-MARKET-CATALOG; SOAR-SERVICE-EXCHANGE-CONNECTOR-FACTORY; SOAR-SERVICE-CCXT-FUTURES-CONNECTOR; SOAR-SERVICE-EXCHANGE-API-KEY-PROBE-CLIENT; SOAR-SERVICE-ORDERS; SOAR-SERVICE-POSITIONS; SOAR-SERVICE-LIVE-POSITION-RECONCILIATION; SOAR-SERVICE-RUNTIME-POSITION-COMMAND; SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-DB-WALLET; SOAR-DB-POSITION; SOAR-DB-ORDER; SOAR-DB-ORDER-FILL,SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS; SOAR-TEST-EXCHANGE-AUTH-READ; SOAR-TEST-EXCHANGE-ADAPTER-BOUNDARY; SOAR-TEST-LIVE-ORDER-ADAPTER; SOAR-TEST-LIVE-FEE-RECONCILIATION; SOAR-TEST-EXCHANGE-SYMBOL-RULES; SOAR-TEST-EXCHANGE-PUBLIC-READ; SOAR-TEST-EXCHANGE-PUBLIC-MARKET-DATA; SOAR-TEST-EXCHANGE-CONNECTOR-FACTORY; SOAR-TEST-CCXT-FUTURES-CONNECTOR; SOAR-TEST-EXCHANGE-MARKET-CATALOG; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-EXCHANGE-API-KEY-PROBE; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-POSITIONS-SERVICE; SOAR-TEST-POSITIONS-SNAPSHOT; SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN; SOAR-TEST-POSITIONS-RECONCILIATION; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-ORDER-EXCHANGE-EVENTS; SOAR-TEST-ORDER-POSITIONS-E2E; SOAR-DOC-EXCHANGE-OWNERSHIP,SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-VENUE-CONTEXT; SOAR-DOC-API-ORDERS; SOAR-DOC-API-POSITIONS; SOAR-DOC-LIVE-POSITION-RESTART; SOAR-DOC-API-BOTS; SOAR-DOC-POSITION-PNL-LIFECYCLE; SOAR-DOC-DATA-MODEL,history/audits/exchange-capability-truth-audit-2026-05-19-task.md,missing_proof:Fresh approved production LIVE mutation proof remains separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Exchange Adapter deep chain across capability contracts authenticated/public read boundaries connector factory live order adapter symbol rules fee reconciliation consumers tests and docs.
CHAIN-WALLETS-CORE,wallets,Wallets core lifecycle and analytics chain,SOAR-FEATURE-WALLETS,verified_local,verified_local,SOAR-PAGE-WALLETS-ROOT; SOAR-PAGE-WALLETS-LIST; SOAR-PAGE-WALLET-CREATE; SOAR-PAGE-WALLET-EDIT; SOAR-PAGE-WALLET-PREVIEW,SOAR-PAGE-WALLETS-ROOT; SOAR-PAGE-WALLETS-LIST; SOAR-COMP-WALLETS-LIST-TABLE; SOAR-PAGE-WALLET-CREATE; SOAR-PAGE-WALLET-EDIT; SOAR-PAGE-WALLET-PREVIEW; SOAR-COMP-WALLET-FORM-PAGE-CONTENT; SOAR-COMP-WALLET-CREATE-EDIT-FORM; SOAR-COMP-WALLET-PREVIEW-PANEL,SOAR-API-WALLET-LIST; SOAR-API-WALLET-METADATA; SOAR-API-WALLET-PREVIEW-BALANCE; SOAR-API-WALLET-GET; SOAR-API-WALLET-CREATE; SOAR-API-WALLET-UPDATE; SOAR-API-WALLET-DELETE; SOAR-API-WALLET-RESET-PAPER; SOAR-API-WALLET-PERFORMANCE-SUMMARY; SOAR-API-WALLET-EQUITY-TIMELINE; SOAR-API-WALLET-CASHFLOW-EVENTS,SOAR-SERVICE-WEB-WALLETS; SOAR-CONTROLLER-WALLETS; SOAR-TYPES-WALLETS; SOAR-SERVICE-WALLETS; SOAR-SERVICE-WALLET-LEDGER; SOAR-SERVICE-WALLET-CASHFLOW-CLASSIFIER; SOAR-SERVICE-EXCHANGE-CAPABILITIES; SOAR-SERVICE-EXCHANGE-MARKET-CATALOG; SOAR-SERVICE-EXCHANGE-AUTH-READ; SOAR-SERVICE-EXCHANGE-ADAPTER-BOUNDARY,SOAR-DB-WALLET; SOAR-DB-BOT; SOAR-DB-POSITION; SOAR-DB-ORDER,SOAR-TEST-WALLETS-API; SOAR-TEST-WALLET-LEDGER; SOAR-TEST-WALLETS-WEB; SOAR-TEST-EXCHANGE-AUTH-READ; SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS; SOAR-TEST-EXCHANGE-MARKET-CATALOG; SOAR-TEST-EXCHANGE-ADAPTER-BOUNDARY; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-RUNTIME-DCA-PNL,SOAR-DOC-API-WALLETS; SOAR-DOC-WEB-WALLETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL,docs/modules/api-wallets.md;docs/modules/web-wallets.md,missing_proof:Fresh authenticated browser proof and approved LIVE mutation/readback remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Wallets core chain across UI routes components Web service API routes controller DTO service exchange boundaries ledger DB tests and docs.
