id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-PAGE-LOGIN,Login page,page,verified,frontend,web-auth,auth-session,"Public login route and form entrypoint.",apps/web/src/features/auth/components/LoginForm.tsx,apps/web/src/app/(public)/auth/login/page.tsx,SOAR-FEATURE-AUTH-SESSION,,SOAR-COMP-LOGIN-FORM,SOAR-FEATURE-AUTH-SESSION,SOAR-COMP-LOGIN-FORM,SOAR-API-AUTH-LOGIN,,SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH,,medium,100,2026-05-14,verified,"Typed page view."
SOAR-PAGE-DASHBOARD,Dashboard page,page,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Authenticated dashboard home route and operator runtime surface.",apps/web/src/app/dashboard/page.tsx,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.tsx,SOAR-FEATURE-DASHBOARD-RUNTIME,,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-FEATURE-MANUAL-ORDER,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Typed page view."
SOAR-PAGE-POSITIONS-LEGACY,Legacy /dashboard/positions route,page,verified_local,frontend,web-positions,positions,"Legacy positions route redirected to canonical runtime positions surface.",apps/web/src/middleware.ts,apps/web/src/app/dashboard/bots/runtime/page.tsx;apps/web/src/middleware.test.ts,SOAR-FEATURE-POSITIONS,,SOAR-DOC-DASHBOARD-ROUTE-MAP,SOAR-PAGE-DASHBOARD,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-DB-POSITION,SOAR-TEST-WEB-POSITIONS,SOAR-DOC-WEB-POSITIONS,,medium,90,2026-05-12,verified_local,"Typed page view."
SOAR-PAGE-BOT-RUNTIME,Bot Runtime page,page,verified_local,frontend,web-bots,bot-runtime,"Bot-specific runtime monitoring route and legacy runtime helper route.",apps/web/src/app/dashboard/bots/[id]/runtime/page.tsx,apps/web/src/app/dashboard/bots/runtime/page.tsx;apps/web/src/app/dashboard/bots/[id]/runtime/page.test.tsx,SOAR-FEATURE-BOT-RUNTIME,,SOAR-COMP-BOTS-MANAGEMENT,SOAR-PAGE-DASHBOARD,SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-RUNTIME-AGGREGATE;SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION,SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-WEB-BOTS,,high,90,2026-05-21,verified_local,"Typed page view."
SOAR-PAGE-WALLETS-ROOT,Wallets root redirect,page,verified_local,frontend,web-wallets,wallets,"Dashboard wallets root route redirecting to the canonical wallet list.",apps/web/src/app/dashboard/wallets/page.tsx,apps/web/src/app/dashboard/wallets/list/page.tsx,SOAR-FEATURE-WALLETS,,SOAR-PAGE-WALLETS-LIST,SOAR-FEATURE-WALLETS,SOAR-PAGE-WALLETS-LIST,,,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,medium,95,2026-05-24,verified_local,"Typed page view."
SOAR-PAGE-WALLET-ID-ROOT,Wallet detail redirect,page,verified_local,frontend,web-wallets,wallets,"Dashboard wallet id route redirecting to the canonical edit route.",apps/web/src/app/dashboard/wallets/[id]/page.tsx,apps/web/src/app/dashboard/wallets/[id]/edit/page.tsx,SOAR-FEATURE-WALLETS,,SOAR-PAGE-WALLET-EDIT,SOAR-FEATURE-WALLETS,SOAR-PAGE-WALLET-EDIT,,,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,medium,95,2026-05-24,verified_local,"Typed page view."
SOAR-PAGE-WALLETS-LIST,Wallets list page,page,verified_local,frontend,web-wallets,wallets,"Canonical wallet list route with row-only wallet management table and inline API-key status.",apps/web/src/app/dashboard/wallets/list/page.tsx,apps/web/src/features/wallets/components/WalletsListTable.tsx,SOAR-FEATURE-WALLETS,,SOAR-COMP-WALLETS-LIST-TABLE;SOAR-SERVICE-WEB-WALLETS,SOAR-FEATURE-WALLETS;SOAR-FEATURE-BOT-RUNTIME,SOAR-COMP-WALLETS-LIST-TABLE,SOAR-API-WALLET-LIST;SOAR-API-WALLET-DELETE;SOAR-API-WALLET-RESET-PAPER,SOAR-DB-WALLET,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,high,95,2026-05-24,verified_local,"Typed page view."
SOAR-PAGE-WALLET-CREATE,Wallet create page,page,verified_local,frontend,web-wallets,wallets,"Wallet create route using the shared create/edit form and metadata-backed constraints.",apps/web/src/app/dashboard/wallets/create/page.tsx,apps/web/src/app/dashboard/wallets/_components/WalletFormPageContent.tsx,SOAR-FEATURE-WALLETS,,SOAR-COMP-WALLET-FORM-PAGE-CONTENT;SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-FEATURE-WALLETS,SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-API-WALLET-METADATA;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-PREVIEW-BALANCE,SOAR-DB-WALLET,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,high,95,2026-05-24,verified_local,"Typed page view."
SOAR-PAGE-WALLET-EDIT,Wallet edit page,page,verified_local,frontend,web-wallets,wallets,"Wallet edit route with existing wallet load update delete and paper reset affordances.",apps/web/src/app/dashboard/wallets/[id]/edit/page.tsx,apps/web/src/app/dashboard/wallets/_components/WalletFormPageContent.tsx,SOAR-FEATURE-WALLETS,,SOAR-COMP-WALLET-FORM-PAGE-CONTENT;SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-FEATURE-WALLETS,SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-API-WALLET-GET;SOAR-API-WALLET-UPDATE;SOAR-API-WALLET-DELETE;SOAR-API-WALLET-RESET-PAPER,SOAR-DB-WALLET;SOAR-DB-BOT;SOAR-DB-POSITION;SOAR-DB-ORDER,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,critical,95,2026-05-24,verified_local,"Typed page view."
SOAR-PAGE-WALLET-PREVIEW,Wallet preview page,page,verified_local,frontend,web-wallets,wallets,"Wallet preview route for ledger-backed summary timeline and cashflow inspection.",apps/web/src/app/dashboard/wallets/[id]/preview/page.tsx,apps/web/src/features/wallets/components/WalletPreviewPanel.tsx,SOAR-FEATURE-WALLETS,,SOAR-COMP-WALLET-PREVIEW-PANEL;SOAR-SERVICE-WEB-WALLETS,SOAR-FEATURE-WALLETS,SOAR-COMP-WALLET-PREVIEW-PANEL,SOAR-API-WALLET-PERFORMANCE-SUMMARY;SOAR-API-WALLET-EQUITY-TIMELINE;SOAR-API-WALLET-CASHFLOW-EVENTS,SOAR-DB-WALLET;SOAR-DB-POSITION,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,critical,95,2026-05-24,verified_local,"Typed page view."
