id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-COMP-LOGIN-FORM,LoginForm,component,verified,frontend,web-auth,auth-session,"Login form component that submits credentials and renders auth errors.",apps/web/src/features/auth/components/LoginForm.tsx,,SOAR-PAGE-LOGIN,,SOAR-API-AUTH-LOGIN,SOAR-PAGE-LOGIN,SOAR-PAGE-LOGIN,SOAR-API-AUTH-LOGIN,,SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH,,medium,100,2026-05-14,verified,"Typed component view."
SOAR-COMP-HOME-LIVE-WIDGETS,HomeLiveWidgets,component,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Dashboard runtime widget composition for selected bot wallet positions orders and manual actions.",apps/web/src/features/dashboard-home/components/HomeLiveWidgets.tsx,apps/web/src/features/dashboard-home/hooks/useHomeLiveWidgetsController.ts,SOAR-PAGE-DASHBOARD,,SOAR-HOOK-MANUAL-ORDER-CONTROLLER;SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-PAGE-DASHBOARD,SOAR-PAGE-DASHBOARD,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Typed component view."
SOAR-COMP-RUNTIME-DATA-SECTION,RuntimeDataSection,component,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Dashboard runtime tab section that presents positions orders history and related runtime tables.",apps/web/src/features/dashboard-home/components/home-live-widgets/RuntimeDataSection.tsx,apps/web/src/features/dashboard-home/components/home-live-widgets/runtimeDataTablePresenters.tsx,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-SERVICE-WEB-BOTS-API,SOAR-PAGE-DASHBOARD,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-TEST-DASHBOARD-RUNTIME;SOAR-TEST-WEB-MANUAL-ORDER,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Typed component view."
SOAR-COMP-RUNTIME-DATA-PRESENTERS,runtimeDataTablePresenters,component,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Runtime table presenter helpers for position order history and action rendering.",apps/web/src/features/dashboard-home/components/home-live-widgets/runtimeDataTablePresenters.tsx,,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-SERVICE-WEB-BOTS-API,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-API-ORDER-CANCEL;SOAR-API-ORDER-CLOSE,,SOAR-TEST-DASHBOARD-RUNTIME;SOAR-TEST-WEB-MANUAL-ORDER,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Typed component view."
SOAR-COMP-BOTS-MANAGEMENT,BotsManagement runtime monitoring component,component,verified_local,frontend,web-bots,bot-runtime,"Bots management component that hosts monitoring tabs and runtime operator state.",apps/web/src/features/bots/components/BotsManagement.tsx,apps/web/src/features/bots/components/bots-management/BotsMonitoringRuntimeStateCell.tsx,SOAR-FEATURE-BOT-RUNTIME,,SOAR-SERVICE-WEB-BOTS-API,SOAR-PAGE-BOT-RUNTIME,SOAR-PAGE-BOT-RUNTIME,SOAR-API-BOT-RUNTIME-AGGREGATE;SOAR-API-BOT-RUNTIME-CLOSE-POSITION,SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION,SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-WEB-BOTS,,high,90,2026-05-21,verified_local,"Typed component view."
SOAR-COMP-WALLETS-LIST-TABLE,WalletsListTable,component,verified_local,frontend,web-wallets,wallets,"Row-only wallet table with inline API-key state and wallet actions.",apps/web/src/features/wallets/components/WalletsListTable.tsx,,SOAR-PAGE-WALLETS-LIST,,SOAR-SERVICE-WEB-WALLETS,SOAR-PAGE-WALLETS-LIST,SOAR-PAGE-WALLETS-LIST,SOAR-API-WALLET-LIST;SOAR-API-WALLET-DELETE;SOAR-API-WALLET-RESET-PAPER,SOAR-DB-WALLET,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,high,95,2026-05-24,verified_local,"Typed component view."
SOAR-COMP-WALLET-FORM-PAGE-CONTENT,WalletFormPageContent,component,verified_local,frontend,web-wallets,wallets,"Route-level wrapper for wallet create and edit flows.",apps/web/src/app/dashboard/wallets/_components/WalletFormPageContent.tsx,,SOAR-FEATURE-WALLETS,,SOAR-COMP-WALLET-CREATE-EDIT-FORM;SOAR-SERVICE-WEB-WALLETS,SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT,SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT,SOAR-API-WALLET-GET;SOAR-API-WALLET-METADATA;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-UPDATE,SOAR-DB-WALLET,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,high,95,2026-05-24,verified_local,"Typed component view."
SOAR-COMP-WALLET-CREATE-EDIT-FORM,WalletCreateEditForm,component,verified_local,frontend,web-wallets,wallets,"Mode-aware wallet form with metadata constraints LIVE balance preview and paper reset confirmation.",apps/web/src/features/wallets/components/WalletCreateEditForm.tsx,apps/web/src/features/wallets/components/wallet-create-edit-form/state.ts;apps/web/src/features/wallets/components/wallet-create-edit-form/actions.ts;apps/web/src/features/wallets/components/wallet-create-edit-form/sections.tsx,SOAR-FEATURE-WALLETS,,SOAR-SERVICE-WEB-WALLETS,SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT,SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT,SOAR-API-WALLET-METADATA;SOAR-API-WALLET-PREVIEW-BALANCE;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-UPDATE;SOAR-API-WALLET-RESET-PAPER,SOAR-DB-WALLET,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,critical,95,2026-05-24,verified_local,"Typed component view."
SOAR-COMP-WALLET-PREVIEW-PANEL,WalletPreviewPanel,component,verified_local,frontend,web-wallets,wallets,"Wallet analytics preview panel for performance summary equity timeline and cashflow events.",apps/web/src/features/wallets/components/WalletPreviewPanel.tsx,,SOAR-PAGE-WALLET-PREVIEW,,SOAR-SERVICE-WEB-WALLETS,SOAR-PAGE-WALLET-PREVIEW,SOAR-PAGE-WALLET-PREVIEW,SOAR-API-WALLET-PERFORMANCE-SUMMARY;SOAR-API-WALLET-EQUITY-TIMELINE;SOAR-API-WALLET-CASHFLOW-EVENTS,SOAR-DB-WALLET;SOAR-DB-POSITION,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,critical,95,2026-05-24,verified_local,"Typed component view."
SOAR-COMP-API-KEYS-LIST,ApiKeysList,component,verified_local,frontend,web-profile,profile-api-keys,"Profile API keys list component for masked key rows test rotate revoke delete actions.",apps/web/src/features/profile/components/ApiKeysList.tsx,,SOAR-PAGE-PROFILE,,SOAR-HOOK-USE-API-KEYS,SOAR-PAGE-PROFILE,SOAR-PAGE-PROFILE,SOAR-API-PROFILE-APIKEY-LIST;SOAR-API-PROFILE-APIKEY-STORED-TEST;SOAR-API-PROFILE-APIKEY-ROTATE;SOAR-API-PROFILE-APIKEY-REVOKE;SOAR-API-PROFILE-APIKEY-DELETE,SOAR-DB-API-KEY,SOAR-TEST-PROFILE-API-KEYS-WEB,SOAR-DOC-WEB-PROFILE,,critical,95,2026-05-24,verified_local,"Typed component view."
