id,route_or_file,feature,module,status,verification_status,user_entry_description,ui_nodes,api_routes,tests,docs,chains,gaps,gap_severity,risk_level,last_verified_at
SOAR-PAGE-LOGIN,apps/web/src/features/auth/components/LoginForm.tsx,auth-session,web-auth,verified,verified,Public login route and form entrypoint.,SOAR-COMP-LOGIN-FORM,SOAR-API-AUTH-LOGIN,SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH,CHAIN-AUTH-SESSION; CHAIN-AUTH-SESSION-DEEP,,none,medium,2026-05-14
SOAR-PAGE-DASHBOARD,apps/web/src/app/dashboard/page.tsx,dashboard-runtime,web-dashboard-home,partially_verified,partially_verified,Authenticated dashboard home route and operator runtime surface.,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-DASHBOARD-HOME,CHAIN-DASHBOARD-RUNTIME; CHAIN-POSITIONS-CORE; CHAIN-WEB-RUNTIME-SURFACES,page_status:partially_verified,high,high,2026-05-23
SOAR-PAGE-POSITIONS-LEGACY,apps/web/src/middleware.ts,positions,web-positions,verified_local,verified_local,Legacy positions route redirected to canonical runtime positions surface.,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-TEST-WEB-POSITIONS,SOAR-DOC-WEB-POSITIONS,CHAIN-POSITIONS-CORE,,none,medium,2026-05-12
SOAR-PAGE-BOT-RUNTIME,apps/web/src/app/dashboard/bots/[id]/runtime/page.tsx,bot-runtime,web-bots,verified_local,verified_local,Bot-specific runtime monitoring route and legacy runtime helper route.,SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-RUNTIME-AGGREGATE; SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-WEB-BOTS,CHAIN-BOT-RUNTIME-CORE,,none,high,2026-05-21
SOAR-PAGE-WALLETS-ROOT,apps/web/src/app/dashboard/wallets/page.tsx,wallets,web-wallets,verified_local,verified_local,Dashboard wallets root route redirecting to the canonical wallet list.,SOAR-PAGE-WALLETS-LIST,,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,,none,medium,2026-05-24
SOAR-PAGE-WALLET-ID-ROOT,apps/web/src/app/dashboard/wallets/[id]/page.tsx,wallets,web-wallets,verified_local,verified_local,Dashboard wallet id route redirecting to the canonical edit route.,SOAR-PAGE-WALLET-EDIT,,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,,,none,medium,2026-05-24
SOAR-PAGE-WALLETS-LIST,apps/web/src/app/dashboard/wallets/list/page.tsx,wallets,web-wallets,verified_local,verified_local,Canonical wallet list route with row-only wallet management table and inline API-key status.,SOAR-COMP-WALLETS-LIST-TABLE,SOAR-API-WALLET-LIST; SOAR-API-WALLET-DELETE; SOAR-API-WALLET-RESET-PAPER,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,,none,high,2026-05-24
SOAR-PAGE-WALLET-CREATE,apps/web/src/app/dashboard/wallets/create/page.tsx,wallets,web-wallets,verified_local,verified_local,Wallet create route using the shared create/edit form and metadata-backed constraints.,SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-API-WALLET-METADATA; SOAR-API-WALLET-CREATE; SOAR-API-WALLET-PREVIEW-BALANCE,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,,none,high,2026-05-24
SOAR-PAGE-WALLET-EDIT,apps/web/src/app/dashboard/wallets/[id]/edit/page.tsx,wallets,web-wallets,verified_local,verified_local,Wallet edit route with existing wallet load update delete and paper reset affordances.,SOAR-COMP-WALLET-CREATE-EDIT-FORM,SOAR-API-WALLET-GET; SOAR-API-WALLET-UPDATE; SOAR-API-WALLET-DELETE; SOAR-API-WALLET-RESET-PAPER,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,,none,critical,2026-05-24
SOAR-PAGE-WALLET-PREVIEW,apps/web/src/app/dashboard/wallets/[id]/preview/page.tsx,wallets,web-wallets,verified_local,verified_local,Wallet preview route for ledger-backed summary timeline and cashflow inspection.,SOAR-COMP-WALLET-PREVIEW-PANEL,SOAR-API-WALLET-PERFORMANCE-SUMMARY; SOAR-API-WALLET-EQUITY-TIMELINE; SOAR-API-WALLET-CASHFLOW-EVENTS,SOAR-TEST-WALLETS-WEB,SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,,none,critical,2026-05-24
SOAR-PAGE-PROFILE,apps/web/src/app/dashboard/profile/page.tsx,profile-api-keys,web-profile,verified_local,verified_local,Authenticated profile route hosting basic security subscription and API-key panels.,SOAR-COMP-API-KEYS-LIST; SOAR-COMP-API-KEY-FORM,SOAR-API-PROFILE-APIKEY-LIST; SOAR-API-PROFILE-APIKEY-CREATE; SOAR-API-PROFILE-APIKEY-TEST,SOAR-TEST-PROFILE-API-KEYS-WEB,SOAR-DOC-WEB-PROFILE,CHAIN-PROFILE-API-KEYS,,none,high,2026-05-24
SOAR-PAGE-BOTS-LIST,apps/web/src/app/dashboard/bots/page.tsx,bot-setup,web-bots,verified_local,verified_local,Canonical bots route for bot list management and navigation to create edit preview runtime assistant.,SOAR-COMP-BOTS-LIST-TABLE,SOAR-API-BOT-LIST; SOAR-API-BOT-DELETE,SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-BOTS,CHAIN-BOT-SETUP,,none,high,2026-05-24
SOAR-PAGE-BOT-CREATE,apps/web/src/app/dashboard/bots/create/page.tsx,bot-setup,web-bots,verified_local,verified_local,Bot create route with wallet-first setup form.,SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-CREATE; SOAR-API-WALLET-LIST,SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-BOTS,CHAIN-BOT-SETUP,,none,critical,2026-05-24
SOAR-PAGE-BOT-EDIT,apps/web/src/app/dashboard/bots/[id]/edit/page.tsx,bot-setup,web-bots,verified_local,verified_local,Bot edit route with existing bot and runtime graph context loading.,SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-GET; SOAR-API-BOT-UPDATE; SOAR-API-BOT-RUNTIME-GRAPH,SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-WEB-BOTS,CHAIN-BOT-SETUP,,none,critical,2026-05-24
SOAR-PAGE-BOT-PREVIEW,apps/web/src/app/dashboard/bots/[id]/preview/page.tsx,bot-setup,web-bots,verified_local,verified_local,Bot preview route bridging setup and runtime aggregate visibility.,SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-GET; SOAR-API-BOT-RUNTIME-AGGREGATE,SOAR-TEST-BOT-SETUP-WEB; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-WEB-BOTS,CHAIN-BOT-SETUP,,none,high,2026-05-24
SOAR-PAGE-STRATEGIES-LIST,apps/web/src/app/dashboard/strategies/list/page.tsx,strategies,web-strategies,verified_local,verified_local,Canonical strategies list route for strategy browsing deletion import and export navigation.,SOAR-COMP-STRATEGIES-LIST,SOAR-API-STRATEGY-LIST; SOAR-API-STRATEGY-DELETE; SOAR-API-STRATEGY-IMPORT; SOAR-API-STRATEGY-EXPORT,SOAR-TEST-STRATEGIES-WEB,SOAR-DOC-WEB-STRATEGIES,CHAIN-STRATEGIES,,none,high,2026-05-24
SOAR-PAGE-STRATEGY-CREATE,apps/web/src/app/dashboard/strategies/create/page.tsx,strategies,web-strategies,verified_local,verified_local,Strategy create route using the shared strategy form and preset picker.,SOAR-COMP-STRATEGY-FORM,SOAR-API-STRATEGY-CREATE; SOAR-API-STRATEGY-INDICATORS,SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS,SOAR-DOC-WEB-STRATEGIES,CHAIN-STRATEGIES,,none,critical,2026-05-24
SOAR-PAGE-STRATEGY-EDIT,apps/web/src/app/dashboard/strategies/[id]/edit/page.tsx,strategies,web-strategies,verified_local,verified_local,Strategy edit route with existing strategy load update and active-bot conflict handling.,SOAR-COMP-STRATEGY-FORM,SOAR-API-STRATEGY-GET; SOAR-API-STRATEGY-UPDATE; SOAR-API-STRATEGY-INDICATORS,SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS,SOAR-DOC-WEB-STRATEGIES,CHAIN-STRATEGIES,,none,critical,2026-05-24
SOAR-PAGE-STRATEGY-ID-ROOT,apps/web/src/app/dashboard/strategies/[id]/page.tsx,strategies,web-strategies,verified_local,verified_local,Strategy id root route that redirects to the canonical edit route.,SOAR-PAGE-STRATEGY-EDIT,SOAR-API-STRATEGY-GET,SOAR-TEST-STRATEGIES-WEB,SOAR-DOC-WEB-STRATEGIES,CHAIN-STRATEGIES,,none,medium,2026-05-24
