Capability ID,Capability,Feature IDs,Chain IDs,Modules,Primary code paths,Tests,Evidence,Status,Risk,Owner,Last updated,Notes
CAP-001,Auth session login chain,auth-session,CHAIN-AUTH-SESSION,web-auth; api-auth,apps/web/src/features/auth; apps/api/src/modules/auth,SOAR-TEST-AUTH-SESSION,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md; docs/architecture/indices/function-chain-evidence-index.csv; docs/architecture/indices/web-journey-index.csv,verified,high,Documentation Steward / Auth lane,2026-07-02,Backfilled from active traceability sources.
CAP-002,Dashboard runtime monitoring chain,dashboard-runtime,CHAIN-DASHBOARD-RUNTIME,web-dashboard-home; api-bots; runtime,apps/web/src/app/dashboard/page.tsx; apps/web/src/features/dashboard-home; apps/api/src/modules/bots,SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-MANUAL-ORDER,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.runtime-table-audit.test.tsx; docs/status/app-completion-index.md,partially_verified,high,Documentation Steward / Dashboard Runtime lane,2026-07-02,Fresh authenticated browser proof after public reachability restore remains required.
CAP-003,Manual order execution chain,manual-order,CHAIN-MANUAL-ORDER; CHAIN-MANUAL-ORDER-DEEP,web-orders; api-orders; engine; exchange,apps/web/src/features/dashboard-home; apps/api/src/modules/orders; apps/api/src/modules/engine; apps/api/src/modules/exchange,SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E; SOAR-TEST-EXCHANGE-ADAPTER,history/audits/live-exchange-execution-parity-2026-05-23-task.md; docs/architecture/indices/function-chain-evidence-index.csv,verified_local,critical,Documentation Steward / Trading Operation lane,2026-07-02,Approval-gated LIVE mutation proof and protected production manual/bot readback remain separate.
CAP-004,Runtime DCA exchange PnL chain,runtime-dca-pnl,CHAIN-RUNTIME-DCA-PNL,api-engine; api-bots; exchange,apps/api/src/modules/bots; apps/api/src/modules/engine; apps/api/src/modules/exchange,SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-MANUAL-ORDER,history/tasks/runtime-dca-exchange-pnl-threshold-2026-05-23-task.md,verified_local,critical,Documentation Steward / Engine Runtime lane,2026-07-02,Protected production readback remains separate.
CAP-005,Positions read reconciliation and manual update chain,positions,CHAIN-POSITIONS-CORE,web-positions; api-positions; exchange; runtime,apps/web/src/features/positions; apps/api/src/modules/positions; apps/api/src/modules/bots; apps/api/src/modules/exchange,SOAR-TEST-WEB-POSITIONS; SOAR-TEST-POSITIONS-SERVICE; SOAR-TEST-POSITIONS-RECONCILIATION; SOAR-TEST-DASHBOARD-RUNTIME,history/evidence/v1-positions-local-proof-task-2026-05-11.md; docs/architecture/indices/web-journey-index.csv,verified_local,critical,Documentation Steward / Positions lane,2026-07-02,Fresh production-safe positions clickthrough and protected LIVE readback remain separate.
CAP-006,Bot Runtime monitoring core chain,bot-runtime,CHAIN-BOT-RUNTIME-CORE,web-bots; api-bots; runtime,apps/web/src/app/dashboard/bots; apps/web/src/features/bots; apps/api/src/modules/bots,SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB; SOAR-TEST-POSITIONS-RECONCILIATION; SOAR-TEST-RUNTIME-DCA-PNL,history/audits/bots-runtime-truth-audit-2026-05-19.md,verified_local,critical,Documentation Steward / Bot Runtime lane,2026-07-02,Fresh authenticated production runtime readback remains separate.
CAP-007,Release audit tooling evidence chain,release-audit-tooling,CHAIN-RELEASE-AUDIT-TOOLING,release; audit; ops,scripts; history/releases; history/artifacts,SOAR-TEST-RELEASE-AUDIT-TOOLING; SOAR-TEST-GUARDRAILS,history/tasks/operator-unblock-default-current-packet-2026-05-24-task.md; history/releases/v1-preflight-production-no-secret-refresh-2026-05-24.md,verified_local,critical,Documentation Steward / Ops Release lane,2026-07-02,Protected production input proof remains blocked by operator-provided environment names.
CAP-008,Exchange adapter deep capability and connector chain,exchange-adapter,CHAIN-EXCHANGE-ADAPTER-DEEP,api-exchange; orders; positions; runtime,apps/api/src/modules/exchange; apps/api/src/modules/orders; apps/api/src/modules/positions; apps/api/src/modules/bots,SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS; SOAR-TEST-EXCHANGE-AUTH-READ; SOAR-TEST-EXCHANGE-ADAPTER-BOUNDARY; SOAR-TEST-LIVE-ORDER-ADAPTER,history/audits/exchange-capability-truth-audit-2026-05-19-task.md; history/artifacts/exchange-capability-truth-audit-2026-05-19.json,verified_local,critical,Documentation Steward / Integration Trading lane,2026-07-02,Fresh approved production LIVE mutation proof remains separate.
CAP-009,Wallets core lifecycle and analytics chain,wallets,CHAIN-WALLETS-CORE,web-wallets; api-wallets; exchange,apps/web/src/app/dashboard/wallets; apps/web/src/features/wallets; apps/api/src/modules/wallets,SOAR-TEST-WALLETS-API; SOAR-TEST-WALLET-LEDGER; SOAR-TEST-WALLETS-WEB; SOAR-TEST-EXCHANGE-AUTH-READ,docs/modules/api-wallets.md; docs/modules/web-wallets.md; docs/architecture/indices/function-chain-evidence-index.csv,verified_local,critical,Documentation Steward / Wallets lane,2026-07-02,Fresh authenticated browser proof and approved LIVE mutation/readback remain separate.
CAP-010,Profile API Keys credential lifecycle chain,profile-api-keys,CHAIN-PROFILE-API-KEYS,web-profile; api-profile; exchange,apps/web/src/app/dashboard/profile; apps/web/src/features/profile; apps/api/src/modules/profile; apps/api/src/modules/exchange,SOAR-TEST-PROFILE-API-KEYS-API; SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-PROFILE-API-KEYS-WEB,docs/modules/api-profile.md; docs/modules/web-profile.md; docs/architecture/indices/function-chain-evidence-index.csv,verified_local,critical,Documentation Steward / Profile lane,2026-07-02,Secret-bearing production probe proof remains separate and must never print raw secrets.
CAP-011,Bot setup and canonical topology chain,bot-setup,CHAIN-BOT-SETUP,web-bots; api-bots; wallets; strategies; markets,apps/web/src/app/dashboard/bots; apps/web/src/features/bots; apps/api/src/modules/bots,SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB; SOAR-TEST-WEB-RESIDUAL-SURFACES,docs/modules/api-bots.md; docs/modules/web-bots.md; docs/status/app-completion-index.md,verified_local,critical,Documentation Steward / Bots lane,2026-07-02,Fresh authenticated browser proof and LIVE activation proof remain separate.
CAP-012,Strategy authoring and indicator catalog chain,strategies,CHAIN-STRATEGIES,web-strategies; api-strategies; engine,apps/web/src/app/dashboard/strategies; apps/web/src/features/strategies; apps/api/src/modules/strategies,SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS,docs/modules/api-strategies.md; docs/modules/web-strategies.md,verified_local,critical,Documentation Steward / Strategies lane,2026-07-02,Fresh authenticated browser proof and production strategy mutation proof remain separate.
CAP-013,Market universe authoring and catalog chain,markets,CHAIN-MARKETS,web-markets; api-markets; exchange catalog,apps/web/src/app/dashboard/markets; apps/web/src/features/markets; apps/api/src/modules/markets; apps/api/src/modules/exchange,SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-MARKET-CATALOG,docs/modules/api-markets.md; docs/modules/web-markets.md,verified_local,critical,Documentation Steward / Markets lane,2026-07-02,Fresh authenticated browser proof and production market mutation proof remain separate.
CAP-014,Backtest run lifecycle and replay chain,backtests,CHAIN-BACKTESTS,web-backtest; api-backtests; workers; reports,apps/web/src/app/dashboard/backtests; apps/web/src/features/backtest; apps/api/src/modules/backtests,SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-REPORTS-API,docs/modules/api-backtests.md; docs/modules/web-backtest.md,verified_local,critical,Documentation Steward / Backtests lane,2026-07-02,Fresh authenticated browser proof and heavy replay performance proof remain separate.
CAP-015,Reports performance evidence chain,reports,CHAIN-REPORTS,web-reports; api-reports; backtests,apps/web/src/app/dashboard/reports; apps/web/src/features/reports; apps/api/src/modules/reports; apps/api/src/modules/backtests,SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB; SOAR-TEST-BACKTESTS-WEB,docs/modules/api-reports.md; docs/modules/web-reports.md,verified_local,critical,Documentation Steward / Reports lane,2026-07-02,Fresh authenticated browser proof and production report readback remain separate.
CAP-016,Logs Audit Trail evidence chain,logs-audit,CHAIN-LOGS-AUDIT,web-logs; api-logs,apps/web/src/app/dashboard/logs; apps/web/src/features/logs; apps/api/src/modules/logs,SOAR-TEST-LOGS-API; SOAR-TEST-LOGS-WEB,docs/modules/api-logs.md; docs/modules/web-logs.md,verified_local,high,Documentation Steward / Logs lane,2026-07-02,Fresh authenticated browser proof and production action-produced readback remain separate.
