id,source_id,target_id,relation_type,status,description,evidence,owner,last_verified_at,notes
REL-AUTH-001,SOAR-PAGE-LOGIN,SOAR-COMP-LOGIN-FORM,contains,verified,Login route renders the LoginForm component.,docs/modules/web-auth.md,Frontend,2026-05-14,
REL-AUTH-002,SOAR-COMP-LOGIN-FORM,SOAR-API-AUTH-LOGIN,calls,verified,LoginForm submits to the login API route.,docs/architecture/traceability-matrix.md,Frontend,2026-05-14,
REL-AUTH-003,SOAR-API-AUTH-LOGIN,SOAR-DB-USER,reads_writes,verified,Login validates user identity and session state.,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md,Backend,2026-05-14,
REL-AUTH-004,SOAR-API-AUTH-ME,SOAR-DB-USER,reads,verified,Current user reads user/session data.,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md,Backend,2026-05-14,
REL-DASH-001,SOAR-PAGE-DASHBOARD,SOAR-COMP-HOME-LIVE-WIDGETS,contains,partially_verified,Dashboard route hosts the runtime widget composition.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.runtime-table-audit.test.tsx,Frontend,2026-05-23,Protected browser proof pending.
REL-DASH-002,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,calls,partially_verified,Dashboard runtime UI consumes bot runtime position read models.,docs/architecture/traceability-matrix.md,Frontend,2026-05-23,Exact endpoint enumeration remains backfill.
REL-DASH-003,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-RUNTIME-SESSION,reads,partially_verified,Runtime position reads depend on runtime session state.,docs/modules/api-bots.md,Backend,2026-05-23,
REL-DASH-004,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-POSITION,reads,partially_verified,Runtime position reads expose position state.,docs/modules/api-bots.md,Backend,2026-05-23,
REL-MANUAL-001,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,uses,verified,Dashboard widget delegates manual order interactions to controller hook.,apps/web/src/features/dashboard-home/hooks/useManualOrderController.test.tsx,Frontend,2026-05-23,
REL-MANUAL-002,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,SOAR-API-MANUAL-CONTEXT,calls,verified,Manual order hook fetches manual order context before submission.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.manual-order.test.tsx,Frontend,2026-05-23,
REL-MANUAL-003,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,SOAR-API-ORDER-OPEN,calls,verified,Manual order hook submits open-order requests after confirmation.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.manual-order.test.tsx,Frontend,2026-05-23,
REL-MANUAL-004,SOAR-API-MANUAL-CONTEXT,SOAR-SERVICE-ORDERS,delegates,verified,Manual context route delegates to orders manual context service.,apps/api/src/modules/orders/orders.manualContext.contractSize.service.test.ts,Backend,2026-05-23,
REL-MANUAL-005,SOAR-API-ORDER-OPEN,SOAR-SERVICE-ORDERS,delegates,verified,Manual open-order route delegates to orders command service.,apps/api/src/modules/orders/orders-positions.e2e.test.ts,Backend,2026-05-23,
REL-MANUAL-006,SOAR-SERVICE-ORDERS,SOAR-FEATURE-EXCHANGE-ADAPTER,uses,verified_local,Orders service uses exchange-owned boundaries for live market rules and mutation paths.,docs/architecture/reference/exchange-access-ownership-matrix.md,Backend,2026-05-23,LIVE mutation remains approval-gated.
REL-MANUAL-007,SOAR-SERVICE-ORDERS,SOAR-DB-ORDER,reads_writes,verified_local,Orders service persists order lifecycle state.,apps/api/src/modules/orders/orders-positions.e2e.test.ts,Backend,2026-05-23,
REL-MANUAL-008,SOAR-SERVICE-ORDERS,SOAR-DB-POSITION,reads_writes,verified_local,Orders service reads and updates positions for close/open lifecycle behavior.,apps/api/src/modules/orders/orders-positions.e2e.test.ts,Backend,2026-05-23,
REL-MANUAL-009,SOAR-SERVICE-ORDERS,SOAR-DB-TRADE,writes,verified_local,Orders lifecycle can produce trade records after fill truth.,docs/modules/api-orders.md,Backend,2026-05-23,
REL-EXCH-001,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-SERVICE-EXCHANGE-REGISTRY,owns,verified_local,Exchange feature owns connector registry and operation capability resolution.,history/audits/exchange-capability-truth-audit-2026-05-19-task.md,Backend,2026-05-19,
REL-DCA-001,SOAR-FEATURE-RUNTIME-DCA-PNL,SOAR-SERVICE-RUNTIME-AUTOMATION,implemented_by,verified_local,DCA exchange PnL threshold behavior is implemented in runtime automation.,history/tasks/runtime-dca-exchange-pnl-threshold-2026-05-23-task.md,Backend,2026-05-23,
REL-DCA-002,SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-DB-POSITION,reads_writes,verified_local,Runtime automation evaluates and mutates position management state.,apps/api/src/modules/engine/runtimePositionAutomation.exchangePnl.test.ts,Backend,2026-05-23,
REL-DCA-003,SOAR-SERVICE-RUNTIME-AUTOMATION,SOAR-FEATURE-EXCHANGE-ADAPTER,uses,verified_local,Runtime DCA threshold path can use exchange PnL truth when available.,history/tasks/runtime-dca-exchange-pnl-threshold-2026-05-23-task.md,Backend,2026-05-23,
REL-DOC-001,SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,SOAR-DOC-TRACEABILITY,extends,in_progress,Graph system extends the existing traceability matrix instead of replacing it.,docs/architecture/architecture-evidence-graph-system.md,Coordinator,2026-05-24,
REL-DOC-002,SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,SOAR-DOC-CODEBASE-MAP,extends,in_progress,Graph system uses the codebase map as seed input.,docs/architecture/architecture-evidence-graph-system.md,Coordinator,2026-05-24,
REL-DOC-003,SOAR-FEATURE-ARCHITECTURE-EVIDENCE-GRAPH,SOAR-TEST-ARCHITECTURE-GRAPH,verified_by,in_progress,Generator validates graph registry structure and emits Obsidian/JSON outputs.,scripts/generateArchitectureGraph.mjs,Coordinator,2026-05-24,
REL-MANUAL-010,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-RUNTIME-DATA-SECTION,contains,partially_verified,Dashboard runtime widget contains the runtime data/table section.,docs/modules/web-dashboard-home.md,Frontend,2026-05-24,
