id,route,feature,module,status,verification_status,consumers,downstream_relations,data_models,tests,docs,chains,evidence,gaps,gap_severity,risk_level,last_verified_at
SOAR-API-AUTH-LOGIN,POST /auth/login,auth-session,api-auth,verified,verified,SOAR-COMP-LOGIN-FORM; SOAR-SERVICE-WEB-AUTH,reads_writes:SOAR-DB-USER; routes_to:SOAR-CONTROLLER-AUTH,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-API-AUTH,CHAIN-AUTH-SESSION; CHAIN-AUTH-SESSION-DEEP,apps/api/src/modules/auth/auth.controller.ts;apps/api/src/modules/auth/auth.service.ts,,none,high,2026-05-14
SOAR-API-AUTH-ME,GET /auth/me,auth-session,api-auth,verified,verified,SOAR-FEATURE-DASHBOARD-RUNTIME; SOAR-CONTEXT-WEB-AUTH,reads:SOAR-DB-USER; routes_to:SOAR-CONTROLLER-AUTH,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-API-AUTH,CHAIN-AUTH-SESSION; CHAIN-AUTH-SESSION-DEEP,apps/api/src/modules/auth/auth.controller.ts;apps/api/src/middleware/requireAuth.ts,,none,high,2026-05-14
SOAR-API-MANUAL-CONTEXT,GET /dashboard/orders/manual-context,manual-order,api-orders,verified,verified,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,delegates:SOAR-SERVICE-ORDERS; delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-BOT; SOAR-DB-WALLET,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,CHAIN-MANUAL-ORDER; CHAIN-MANUAL-ORDER-DEEP,apps/api/src/modules/orders/orders.manualContext.service.ts,,none,critical,2026-05-23
SOAR-API-ORDER-OPEN,POST /dashboard/orders/open,manual-order,api-orders,verified,verified_local,SOAR-HOOK-MANUAL-ORDER-CONTROLLER; SOAR-SERVICE-WEB-BOTS-API,delegates:SOAR-SERVICE-ORDERS; delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER; SOAR-DB-POSITION,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,CHAIN-MANUAL-ORDER; CHAIN-MANUAL-ORDER-DEEP,apps/api/src/modules/orders/orders.service.ts;apps/api/src/modules/engine/preTrade.service.ts,,none,critical,2026-05-23
SOAR-API-BOT-RUNTIME-POSITIONS,GET bot runtime positions,dashboard-runtime,api-bots,partially_verified,partially_verified,SOAR-COMP-HOME-LIVE-WIDGETS; SOAR-SERVICE-WEB-BOTS-API,reads:SOAR-DB-RUNTIME-SESSION; reads:SOAR-DB-POSITION; delegates:SOAR-CONTROLLER-BOTS,SOAR-DB-RUNTIME-SESSION; SOAR-DB-POSITION,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-API-BOTS,CHAIN-DASHBOARD-RUNTIME; CHAIN-BOT-RUNTIME-CORE; CHAIN-WEB-RUNTIME-SURFACES,apps/api/src/modules/bots/runtimeSessionPositionsRead.service.ts;apps/api/src/modules/bots/runtimeSessionPositionsRead.repository.ts,api_status:partially_verified,high,high,2026-05-23
SOAR-API-ORDER-LIST,GET /dashboard/orders,manual-order,api-orders,verified,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,apps/api/src/modules/orders/orders.controller.ts,not_in_function_chain,medium,high,2026-05-23
SOAR-API-ORDER-GET,GET /dashboard/orders/:id,manual-order,api-orders,verified,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,apps/api/src/modules/orders/orders.controller.ts,not_in_function_chain,medium,high,2026-05-23
SOAR-API-ORDER-CANCEL,POST /dashboard/orders/:id/cancel,manual-order,api-orders,verified,verified_local,SOAR-COMP-RUNTIME-DATA-PRESENTERS; SOAR-SERVICE-WEB-BOTS-API,delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE; SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,apps/api/src/modules/orders/orders.controller.ts,not_in_function_chain,medium,critical,2026-05-23
SOAR-API-ORDER-CLOSE,POST /dashboard/orders/:id/close,manual-order,api-orders,verified,verified_local,SOAR-COMP-RUNTIME-DATA-PRESENTERS; SOAR-SERVICE-WEB-BOTS-API,delegates:SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER; SOAR-DB-POSITION,SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,apps/api/src/modules/orders/orders.controller.ts,not_in_function_chain,medium,critical,2026-05-23
SOAR-API-POSITION-LIST,GET /dashboard/positions,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE; SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-POSITION-GET,GET /dashboard/positions/:id,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,high,2026-05-24
