id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-WORKFLOW-MANUAL-ORDER-CHAIN,Manual order execution workflow,workflow,verified_local,fullstack,manual-orders,manual-order,"Workflow from dashboard manual action through API service exchange boundary persistence tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-MANUAL-ORDER.md,SOAR-FEATURE-MANUAL-ORDER,,SOAR-FEATURE-MANUAL-ORDER,SOAR-AGENT-COORDINATOR,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-ORDER-OPEN,SOAR-DB-ORDER,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-EXECUTION-LIFECYCLE,SOAR-AGENT-COORDINATOR,critical,95,2026-05-23,verified_local,"Generated chain note is the Obsidian workflow node."
SOAR-WORKFLOW-MANUAL-ORDER-DEEP-CHAIN,Manual order deep execution workflow,workflow,verified_local,fullstack,manual-orders,manual-order,"Detailed workflow across dashboard component hook Web service API route controller DTO service pretrade exchange lifecycle DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-MANUAL-ORDER-DEEP.md,SOAR-FEATURE-MANUAL-ORDER,,SOAR-FEATURE-MANUAL-ORDER,SOAR-AGENT-COORDINATOR,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-ORDER-OPEN;SOAR-API-ORDER-CANCEL;SOAR-API-ORDER-CLOSE,SOAR-DB-ORDER;SOAR-DB-ORDER-FILL;SOAR-DB-POSITION;SOAR-DB-TRADE,SOAR-TEST-WEB-MANUAL-ORDER;SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-WEB-ORDERS;SOAR-DOC-API-ORDERS;SOAR-DOC-EXECUTION-LIFECYCLE,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Backfill workflow node for P0 manual order slice."
SOAR-WORKFLOW-POSITIONS-CORE-CHAIN,Positions core graph workflow,workflow,verified_local,fullstack,positions,positions,"Detailed workflow across legacy route runtime UI Web service API routes controller DTO service exchange snapshot reconciliation DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-POSITIONS-CORE.md,SOAR-FEATURE-POSITIONS,,SOAR-FEATURE-POSITIONS,SOAR-AGENT-COORDINATOR,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-API-POSITION-LIST;SOAR-API-POSITION-EXCHANGE-SNAPSHOT;SOAR-API-POSITION-MANUAL-UPDATE,SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-TRADE,SOAR-TEST-POSITIONS-SERVICE;SOAR-TEST-POSITIONS-RECONCILIATION;SOAR-TEST-WEB-POSITIONS,SOAR-DOC-WEB-POSITIONS;SOAR-DOC-API-POSITIONS;SOAR-DOC-LIVE-POSITION-RESTART,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for P0 positions slice."
SOAR-WORKFLOW-BOT-RUNTIME-CORE-CHAIN,Bot Runtime core graph workflow,workflow,verified_local,fullstack,bot-runtime,bot-runtime,"Detailed workflow across bot runtime route monitoring UI Web service API routes controller DTO aggregate/read/command services DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-BOT-RUNTIME-CORE.md,SOAR-FEATURE-BOT-RUNTIME,,SOAR-FEATURE-BOT-RUNTIME,SOAR-AGENT-COORDINATOR,SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-RUNTIME-AGGREGATE;SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-API-BOT-RUNTIME-CLOSE-POSITION,SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-TRADE,SOAR-TEST-BOT-RUNTIME-API;SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for P0 Bot Runtime slice."
SOAR-WORKFLOW-EXCHANGE-ADAPTER-DEEP-CHAIN,Exchange Adapter deep graph workflow,workflow,verified_local,backend,exchange,exchange-adapter,"Detailed workflow across capability contracts authenticated/public read boundaries connector factory live order adapter symbol rules fee reconciliation consumers tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-EXCHANGE-ADAPTER-DEEP.md,SOAR-FEATURE-EXCHANGE-ADAPTER,,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-AGENT-COORDINATOR,,SOAR-API-ORDER-OPEN;SOAR-API-ORDER-CANCEL;SOAR-API-POSITION-EXCHANGE-SNAPSHOT,SOAR-DB-WALLET;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-ORDER-FILL,SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS;SOAR-TEST-EXCHANGE-AUTH-READ;SOAR-TEST-LIVE-ORDER-ADAPTER,SOAR-DOC-EXCHANGE-OWNERSHIP;SOAR-DOC-VENUE-CONTEXT,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Backfill workflow node for P0 Exchange Adapter slice."
SOAR-WORKFLOW-WALLETS-CORE-CHAIN,Wallets core execution workflow,workflow,verified_local,fullstack,wallets,wallets,"Workflow from wallet UI through Web service API routes controller DTO service exchange adapter ledger DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-WALLETS-CORE.md,SOAR-FEATURE-WALLETS,,SOAR-FEATURE-WALLETS,SOAR-AGENT-COORDINATOR,SOAR-PAGE-WALLETS-LIST;SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT;SOAR-PAGE-WALLET-PREVIEW,SOAR-API-WALLET-LIST;SOAR-API-WALLET-METADATA;SOAR-API-WALLET-PREVIEW-BALANCE;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-UPDATE;SOAR-API-WALLET-RESET-PAPER;SOAR-API-WALLET-PERFORMANCE-SUMMARY,SOAR-DB-WALLET;SOAR-DB-BOT;SOAR-DB-POSITION;SOAR-DB-ORDER,SOAR-TEST-WALLETS-API;SOAR-TEST-WALLETS-WEB;SOAR-TEST-WALLET-LEDGER,SOAR-DOC-API-WALLETS;SOAR-DOC-WEB-WALLETS,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Backfill workflow node for P0 Wallets slice."
SOAR-WORKFLOW-PROFILE-API-KEYS-CHAIN,Profile API Keys execution workflow,workflow,verified_local,fullstack,profile,profile-api-keys,"Workflow from profile API-key UI through Web service API routes controller DTO service encryption probe exchange boundary DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-PROFILE-API-KEYS.md,SOAR-FEATURE-PROFILE-API-KEYS,,SOAR-FEATURE-PROFILE-API-KEYS,SOAR-AGENT-COORDINATOR,SOAR-PAGE-PROFILE;SOAR-COMP-API-KEYS-LIST;SOAR-COMP-API-KEY-FORM,SOAR-API-PROFILE-APIKEY-LIST;SOAR-API-PROFILE-APIKEY-CREATE;SOAR-API-PROFILE-APIKEY-TEST;SOAR-API-PROFILE-APIKEY-STORED-TEST;SOAR-API-PROFILE-APIKEY-ROTATE;SOAR-API-PROFILE-APIKEY-REVOKE,SOAR-DB-API-KEY;SOAR-DB-LOG;SOAR-DB-USER,SOAR-TEST-PROFILE-API-KEYS-API;SOAR-TEST-PROFILE-API-KEYS-WEB;SOAR-TEST-PROFILE-API-KEY-PROBE,SOAR-DOC-API-PROFILE;SOAR-DOC-WEB-PROFILE,SOAR-AGENT-COORDINATOR,critical,95,2026-05-24,verified_local,"Backfill workflow node for P0 Profile API Keys slice."
SOAR-WORKFLOW-RELEASE-AUDIT-TOOLING-CHAIN,Release audit tooling workflow,workflow,verified_local,tooling,release,release-audit-tooling,"Workflow from release readiness artifacts through preflight release gate packet validation reusable audit validation tests guardrails docs parity and graph evidence.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-RELEASE-AUDIT-TOOLING.md,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,,SOAR-TOOL-V1-FINAL-PREFLIGHT;SOAR-TOOL-V1-RELEASE-GATE;SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK;SOAR-TOOL-REUSABLE-AUDIT-CHECKERS;SOAR-TOOL-REPOSITORY-PATH-RESOLVER,SOAR-AGENT-COORDINATOR,,, ,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING;SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,SOAR-AGENT-COORDINATOR,critical,92,2026-05-24,verified_local,"Typed workflow view for release audit tooling."
SOAR-WORKFLOW-BOT-SETUP-CHAIN,Bot setup execution workflow,workflow,verified_local,fullstack,bots,bot-setup,"Workflow from bot setup UI through Web service API lifecycle routes controller DTO service context validation canonical topology DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-BOT-SETUP.md,SOAR-FEATURE-BOT-SETUP,,SOAR-FEATURE-BOT-SETUP,SOAR-AGENT-COORDINATOR,SOAR-PAGE-BOTS-LIST;SOAR-PAGE-BOT-CREATE;SOAR-PAGE-BOT-EDIT;SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-LIST;SOAR-API-BOT-GET;SOAR-API-BOT-CREATE;SOAR-API-BOT-UPDATE;SOAR-API-BOT-DELETE;SOAR-API-BOT-MARKET-GROUPS-LIST;SOAR-API-BOT-MARKET-GROUP-CREATE;SOAR-API-BOT-MARKET-GROUP-STRATEGY-ATTACH,SOAR-DB-BOT;SOAR-DB-WALLET;SOAR-DB-API-KEY;SOAR-DB-STRATEGY;SOAR-DB-MARKET-UNIVERSE;SOAR-DB-BOT-MARKET-GROUP;SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-BOT-SETUP-API;SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for P0 Bot Setup slice."
SOAR-WORKFLOW-STRATEGIES-CHAIN,Strategies authoring execution workflow,workflow,verified_local,fullstack,strategies,strategies,"Workflow from strategy list/create/edit UI through Web service API routes controller validation service DB bot/backtest guards tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-STRATEGIES.md,SOAR-FEATURE-STRATEGIES,,SOAR-FEATURE-STRATEGIES,SOAR-AGENT-COORDINATOR,SOAR-PAGE-STRATEGIES-LIST;SOAR-PAGE-STRATEGY-CREATE;SOAR-PAGE-STRATEGY-EDIT;SOAR-COMP-STRATEGY-FORM;SOAR-COMP-STRATEGY-PRESET-PICKER,SOAR-API-STRATEGY-LIST;SOAR-API-STRATEGY-GET;SOAR-API-STRATEGY-CREATE;SOAR-API-STRATEGY-UPDATE;SOAR-API-STRATEGY-DELETE;SOAR-API-STRATEGY-IMPORT;SOAR-API-STRATEGY-EXPORT;SOAR-API-STRATEGY-INDICATORS,SOAR-DB-STRATEGY;SOAR-DB-BOT;SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-STRATEGIES-API;SOAR-TEST-STRATEGY-INDICATORS;SOAR-TEST-STRATEGIES-WEB;SOAR-TEST-STRATEGY-FORM-UTILS,SOAR-DOC-API-STRATEGIES;SOAR-DOC-WEB-STRATEGIES,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for Strategies slice."
SOAR-WORKFLOW-MARKETS-CHAIN,Markets universe execution workflow,workflow,verified_local,fullstack,markets,markets,"Workflow from market universe list/create/edit UI through Web service API routes controller DTO service catalog/symbol resolution DB guards tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-MARKETS.md,SOAR-FEATURE-MARKETS,,SOAR-FEATURE-MARKETS,SOAR-AGENT-COORDINATOR,SOAR-PAGE-MARKETS-LIST;SOAR-PAGE-MARKET-CREATE;SOAR-PAGE-MARKET-EDIT;SOAR-COMP-MARKET-UNIVERSE-FORM;SOAR-COMP-MARKET-UNIVERSES-TABLE,SOAR-API-MARKET-UNIVERSE-LIST;SOAR-API-MARKET-UNIVERSE-GET;SOAR-API-MARKET-CATALOG;SOAR-API-MARKET-UNIVERSE-CREATE;SOAR-API-MARKET-UNIVERSE-UPDATE;SOAR-API-MARKET-UNIVERSE-DELETE,SOAR-DB-MARKET-UNIVERSE;SOAR-DB-SYMBOL-GROUP;SOAR-DB-BOT;SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-MARKETS-API;SOAR-TEST-MARKETS-WEB,SOAR-DOC-API-MARKETS;SOAR-DOC-WEB-MARKETS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for Markets slice."
SOAR-WORKFLOW-BACKTESTS-CHAIN,Backtests run lifecycle workflow,workflow,verified_local,fullstack,backtests,backtests,"Workflow from backtest list/create/detail UI through Web service API routes controller DTO service queue job replay data gateway fill model report lifecycle DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-BACKTESTS.md,SOAR-FEATURE-BACKTESTS,,SOAR-FEATURE-BACKTESTS,SOAR-AGENT-COORDINATOR,SOAR-PAGE-BACKTESTS-LIST;SOAR-PAGE-BACKTEST-CREATE;SOAR-PAGE-BACKTEST-DETAIL;SOAR-COMP-BACKTEST-CREATE-FORM;SOAR-COMP-BACKTEST-RUN-DETAILS,SOAR-API-BACKTEST-RUN-LIST;SOAR-API-BACKTEST-RUN-GET;SOAR-API-BACKTEST-RUN-TRADES;SOAR-API-BACKTEST-RUN-REPORT;SOAR-API-BACKTEST-RUN-TIMELINE;SOAR-API-BACKTEST-RUN-CREATE;SOAR-API-BACKTEST-RUN-DELETE,SOAR-DB-BACKTEST-RUN;SOAR-DB-BACKTEST-TRADE;SOAR-DB-BACKTEST-REPORT;SOAR-DB-STRATEGY;SOAR-DB-MARKET-UNIVERSE,SOAR-TEST-BACKTESTS-API;SOAR-TEST-BACKTEST-REPLAY;SOAR-TEST-BACKTESTS-WEB,SOAR-DOC-API-BACKTESTS;SOAR-DOC-WEB-BACKTESTS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for Backtests slice."
SOAR-WORKFLOW-REPORTS-CHAIN,Reports performance evidence workflow,workflow,verified_local,fullstack,reports,reports,"Workflow from reports route through view Web services cross-mode API controller aggregation data reads tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-REPORTS.md,SOAR-FEATURE-REPORTS,,SOAR-FEATURE-REPORTS,SOAR-AGENT-COORDINATOR,SOAR-PAGE-REPORTS;SOAR-COMP-PERFORMANCE-REPORTS-VIEW,SOAR-API-REPORTS-CROSS-MODE-PERFORMANCE;SOAR-API-BACKTEST-RUN-LIST;SOAR-API-BACKTEST-RUN-REPORT,SOAR-DB-BACKTEST-REPORT;SOAR-DB-BACKTEST-TRADE;SOAR-DB-TRADE;SOAR-DB-BOT,SOAR-TEST-REPORTS-API;SOAR-TEST-REPORTS-WEB,SOAR-DOC-API-REPORTS;SOAR-DOC-WEB-REPORTS,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for Reports slice."
SOAR-WORKFLOW-LOGS-AUDIT-CHAIN,Logs Audit Trail workflow,workflow,verified_local,fullstack,logs,logs-audit,"Workflow from logs route through audit trail view Web service API route controller query schema service DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-LOGS-AUDIT.md,SOAR-FEATURE-LOGS-AUDIT,,SOAR-FEATURE-LOGS-AUDIT,SOAR-AGENT-COORDINATOR,SOAR-PAGE-LOGS;SOAR-COMP-AUDIT-TRAIL-VIEW,SOAR-API-LOGS-LIST,SOAR-DB-LOG,SOAR-TEST-LOGS-API;SOAR-TEST-LOGS-WEB,SOAR-DOC-API-LOGS;SOAR-DOC-WEB-LOGS,SOAR-AGENT-COORDINATOR,high,90,2026-05-24,verified_local,"Backfill workflow node for Logs/Audit Trail slice."
SOAR-WORKFLOW-SUBSCRIPTIONS-ADMIN-CHAIN,Subscriptions Admin workflow,workflow,verified_local,fullstack,subscriptions,subscriptions-admin,"Workflow from admin/profile subscription UI through Web services API routes controllers schemas services entitlements checkout DB tests and docs.",docs/architecture/chains/chains.csv,docs/architecture/chains/CHAIN-SUBSCRIPTIONS-ADMIN.md,SOAR-FEATURE-SUBSCRIPTIONS-ADMIN,,SOAR-FEATURE-SUBSCRIPTIONS-ADMIN,SOAR-AGENT-COORDINATOR,SOAR-PAGE-ADMIN-SUBSCRIPTIONS;SOAR-PAGE-ADMIN-USERS;SOAR-COMP-PROFILE-SUBSCRIPTION,SOAR-API-ADMIN-USERS-LIST;SOAR-API-ADMIN-USERS-UPDATE;SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST;SOAR-API-ADMIN-SUBSCRIPTION-PLAN-UPDATE;SOAR-API-PROFILE-SUBSCRIPTION-GET;SOAR-API-PROFILE-SUBSCRIPTION-CHECKOUT,SOAR-DB-SUBSCRIPTION-PLAN;SOAR-DB-USER-SUBSCRIPTION;SOAR-DB-PAYMENT-INTENT;SOAR-DB-USER,SOAR-TEST-SUBSCRIPTIONS-ADMIN-API;SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS;SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB,SOAR-DOC-API-ADMIN;SOAR-DOC-API-SUBSCRIPTIONS;SOAR-DOC-WEB-ADMIN,SOAR-AGENT-COORDINATOR,critical,90,2026-05-24,verified_local,"Backfill workflow node for Subscriptions/Admin slice."
