id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-API-AUTH-LOGIN,POST /auth/login,api_route,verified,backend,api-auth,auth-session,"Public login endpoint that issues session cookies after credential validation.",apps/api/src/modules/auth/auth.routes.ts,apps/api/src/modules/auth/auth.controller.ts;apps/api/src/modules/auth/auth.service.ts,SOAR-FEATURE-AUTH-SESSION,,SOAR-DB-USER,SOAR-COMP-LOGIN-FORM,,SOAR-API-AUTH-ME,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-API-AUTH,,high,100,2026-05-14,verified,"Typed API route view."
SOAR-API-MANUAL-CONTEXT,GET /dashboard/orders/manual-context,api_route,verified,backend,api-orders,manual-order,"Authenticated manual-order context endpoint with market rules price reference and execution metadata.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.manualContext.service.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-SERVICE-ORDERS;SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,,SOAR-API-ORDER-OPEN,SOAR-DB-BOT;SOAR-DB-WALLET,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,,critical,100,2026-05-23,verified,"Typed API route view."
SOAR-API-ORDER-OPEN,POST /dashboard/orders/open,api_route,verified,backend,api-orders,manual-order,"Authenticated manual order placement endpoint with risk and entitlement guards.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.service.ts;apps/api/src/modules/engine/preTrade.service.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-SERVICE-ORDERS;SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-HOOK-MANUAL-ORDER-CONTROLLER,,SOAR-SERVICE-ORDERS,SOAR-DB-ORDER;SOAR-DB-POSITION,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-ORDERS,,critical,95,2026-05-23,verified_local,"Typed API route view."
SOAR-API-ORDER-LIST,GET /dashboard/orders,api_route,verified,backend,api-orders,manual-order,"Authenticated order list route with normalized filters and ownership scope.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.controller.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-CONTROLLER-ORDERS;SOAR-TYPES-ORDERS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE;SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,high,95,2026-05-23,verified_local,"Typed API route view."
SOAR-API-ORDER-GET,GET /dashboard/orders/:id,api_route,verified,backend,api-orders,manual-order,"Authenticated single order read route.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.controller.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-CONTROLLER-ORDERS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE;SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,high,95,2026-05-23,verified_local,"Typed API route view."
SOAR-API-ORDER-CANCEL,POST /dashboard/orders/:id/cancel,api_route,verified,backend,api-orders,manual-order,"Authenticated cancel command route with risk acknowledgement and exchange-backed fail-closed behavior.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.controller.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-CONTROLLER-ORDERS;SOAR-SERVICE-ORDERS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER,SOAR-TEST-ORDER-SERVICE;SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,critical,95,2026-05-23,verified_local,"Typed API route view."
SOAR-API-ORDER-CLOSE,POST /dashboard/orders/:id/close,api_route,verified,backend,api-orders,manual-order,"Authenticated close command route with risk acknowledgement and lifecycle guards.",apps/api/src/modules/orders/orders.routes.ts,apps/api/src/modules/orders/orders.controller.ts,SOAR-FEATURE-MANUAL-ORDER,,SOAR-CONTROLLER-ORDERS;SOAR-SERVICE-ORDERS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-CONTROLLER-ORDERS,SOAR-DB-ORDER;SOAR-DB-POSITION,SOAR-TEST-ORDER-POSITIONS-E2E,SOAR-DOC-API-ORDERS,,critical,95,2026-05-23,verified_local,"Typed API route view."
SOAR-API-POSITION-LIST,GET /dashboard/positions,api_route,verified_local,backend,api-positions,positions,"Authenticated position list route with status symbol pagination and ownership scope.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-TYPES-POSITIONS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE;SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-GET,GET /dashboard/positions/:id,api_route,verified_local,backend,api-positions,positions,"Authenticated single position read route.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE,SOAR-DOC-API-POSITIONS,,high,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-LIVE-STATUS,GET /dashboard/positions/live-status,api_route,verified_local,backend,api-positions,positions,"Authenticated live reconciliation status route with user scoped diagnostics.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts;apps/api/src/modules/positions/livePositionReconciliationLoop.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-RECONCILIATION,SOAR-DOC-API-POSITIONS;SOAR-DOC-LIVE-POSITION-RESTART,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-EXCHANGE-SNAPSHOT,GET /dashboard/positions/exchange-snapshot,api_route,verified_local,backend,api-positions,positions,"Authenticated exchange positions snapshot route behind operation capability checks.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-SERVICE-POSITIONS;SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SNAPSHOT,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-TAKEOVER-STATUS,GET /dashboard/positions/takeover-status,api_route,verified_local,backend,api-positions,positions,"Authenticated external position takeover status route.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-SERVICE-POSITIONS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-TAKEOVER-REBIND,POST /dashboard/positions/takeover-rebind,api_route,verified_local,backend,api-positions,positions,"Authenticated deterministic external takeover ownership rebind route.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-SERVICE-POSITIONS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-ORPHAN-REPAIR,POST /dashboard/positions/orphan-repair,api_route,verified_local,backend,api-positions,positions,"Authenticated local orphan repair plus exchange reconciliation and takeover rebind route.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-SERVICE-POSITIONS;SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-MANAGEMENT-MODE,PATCH /dashboard/positions/:id/management-mode,api_route,verified_local,backend,api-positions,positions,"Authenticated management mode update route for BOT_MANAGED versus MANUAL_MANAGED state.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-TYPES-POSITIONS;SOAR-SERVICE-POSITIONS,SOAR-COMP-RUNTIME-DATA-SECTION,,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE,SOAR-DOC-API-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-POSITION-MANUAL-UPDATE,PATCH /dashboard/positions/:id/manual-update,api_route,verified_local,backend,api-positions,positions,"Authenticated manual TP SL notes and lock-rule update route for open positions.",apps/api/src/modules/positions/positions.routes.ts,apps/api/src/modules/positions/positions.controller.ts,SOAR-FEATURE-POSITIONS,,SOAR-CONTROLLER-POSITIONS;SOAR-TYPES-POSITIONS;SOAR-SERVICE-POSITIONS,SOAR-WEB-POSITIONS-SERVICE;SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-COMP-RUNTIME-DATA-PRESENTERS,SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE;SOAR-TEST-WEB-POSITIONS,SOAR-DOC-API-POSITIONS;SOAR-DOC-WEB-POSITIONS,,critical,90,2026-05-24,verified_local,"Typed API route view."
SOAR-API-BOT-RUNTIME-GRAPH,GET /dashboard/bots/:id/runtime-graph,api_route,verified_local,backend,api-bots,bot-runtime,"Authenticated bot runtime graph route.",apps/api/src/modules/bots/bots.routes.ts,apps/api/src/modules/bots/bots.controller.ts,SOAR-FEATURE-BOT-RUNTIME,,SOAR-CONTROLLER-BOTS;SOAR-SERVICE-BOTS,SOAR-COMP-BOTS-MANAGEMENT,SOAR-COMP-BOTS-MANAGEMENT,SOAR-CONTROLLER-BOTS,SOAR-DB-BOT;SOAR-DB-RUNTIME-SESSION,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,,high,90,2026-05-24,verified_local,"Typed API route view."
