id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes
SOAR-FEATURE-AUTH-SESSION,Auth session,feature,verified,fullstack,auth,auth-session,"Login logout current-user and protected-route session lifecycle.",docs/architecture/traceability-matrix.md,docs/modules/api-auth.md;docs/modules/web-auth.md,,SOAR-PAGE-LOGIN;SOAR-API-AUTH-LOGIN;SOAR-API-AUTH-ME,SOAR-DOC-TRACEABILITY,SOAR-FEATURE-DASHBOARD-RUNTIME,SOAR-PAGE-LOGIN,SOAR-API-AUTH-LOGIN;SOAR-API-AUTH-ME,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-TRACEABILITY,,high,100,2026-05-14,verified,"Seeded from traceability matrix and module confidence ledger."
SOAR-PAGE-LOGIN,Login page,page,verified,frontend,web-auth,auth-session,"Public login route and form entrypoint.",apps/web/src/features/auth/components/LoginForm.tsx,apps/web/src/app/(public)/auth/login/page.tsx,SOAR-FEATURE-AUTH-SESSION,,SOAR-COMP-LOGIN-FORM,SOAR-FEATURE-AUTH-SESSION,SOAR-COMP-LOGIN-FORM,SOAR-API-AUTH-LOGIN,,SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH,,medium,100,2026-05-14,verified,"Represents route plus primary feature component."
SOAR-COMP-LOGIN-FORM,LoginForm,component,verified,frontend,web-auth,auth-session,"Login form component that submits credentials and renders auth errors.",apps/web/src/features/auth/components/LoginForm.tsx,,SOAR-PAGE-LOGIN,,SOAR-API-AUTH-LOGIN,SOAR-PAGE-LOGIN,SOAR-PAGE-LOGIN,SOAR-API-AUTH-LOGIN,,SOAR-TEST-AUTH-SESSION,SOAR-DOC-WEB-AUTH,,medium,100,2026-05-14,verified,"Exact tests are tracked in Auth proof history."
SOAR-API-AUTH-LOGIN,POST /auth/login,api_route,verified,backend,api-auth,auth-session,"Public login endpoint that issues session cookies after credential validation.",apps/api/src/modules/auth/auth.routes.ts,apps/api/src/modules/auth/auth.controller.ts;apps/api/src/modules/auth/auth.service.ts,SOAR-FEATURE-AUTH-SESSION,,SOAR-DB-USER,SOAR-COMP-LOGIN-FORM,,SOAR-API-AUTH-ME,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-API-AUTH,,high,100,2026-05-14,verified,"No raw credential evidence belongs in graph records."
SOAR-API-AUTH-ME,GET /auth/me,api_route,verified,backend,api-auth,auth-session,"Current-user endpoint used by authenticated bootstrap and stale-session checks.",apps/api/src/modules/auth/auth.routes.ts,apps/api/src/modules/auth/auth.controller.ts;apps/api/src/middleware/requireAuth.ts,SOAR-FEATURE-AUTH-SESSION,,SOAR-DB-USER,SOAR-FEATURE-DASHBOARD-RUNTIME,,SOAR-API-AUTH-LOGIN,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-API-AUTH,,high,100,2026-05-14,verified,"Logout token reuse hardening proof exists in history."
SOAR-DB-USER,User model,database_model,verified,data,identity,auth-session,"Prisma identity model used by auth profile subscriptions and ownership checks.",apps/api/prisma/schema.prisma,,SOAR-FEATURE-AUTH-SESSION,,SOAR-DOC-DATA-MODEL,SOAR-API-AUTH-LOGIN;SOAR-API-AUTH-ME,,,SOAR-DB-USER,SOAR-TEST-AUTH-SESSION,SOAR-DOC-DATA-MODEL,,high,100,2026-05-23,verified,"Model-level coverage is grouped under data/migration proof."
SOAR-FEATURE-DASHBOARD-RUNTIME,Dashboard runtime monitoring,feature,partially_verified,fullstack,dashboard-runtime,dashboard-runtime,"Selected bot runtime data across dashboard UI runtime APIs positions orders trades and market stream updates.",docs/architecture/traceability-matrix.md,docs/modules/web-dashboard-home.md;docs/modules/api-bots.md,,SOAR-PAGE-DASHBOARD;SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-DB-RUNTIME-SESSION,SOAR-FEATURE-AUTH-SESSION;SOAR-FEATURE-MANUAL-ORDER,SOAR-FEATURE-MANUAL-ORDER,SOAR-PAGE-DASHBOARD,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-TRACEABILITY,,high,85,2026-05-23,partially_verified,"Protected production readback remains access-gated even with strong local proof."
SOAR-PAGE-DASHBOARD,Dashboard page,page,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Authenticated dashboard home route and operator runtime surface.",apps/web/src/app/dashboard/page.tsx,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.tsx,SOAR-FEATURE-DASHBOARD-RUNTIME,,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-FEATURE-MANUAL-ORDER,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Requires authenticated browser proof after current public reachability is restored."
SOAR-COMP-HOME-LIVE-WIDGETS,HomeLiveWidgets,component,partially_verified,frontend,web-dashboard-home,dashboard-runtime,"Dashboard runtime widget composition for selected bot wallet positions orders and manual actions.",apps/web/src/features/dashboard-home/components/HomeLiveWidgets.tsx,apps/web/src/features/dashboard-home/hooks/useHomeLiveWidgetsController.ts,SOAR-PAGE-DASHBOARD,,SOAR-HOOK-MANUAL-ORDER-CONTROLLER;SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-PAGE-DASHBOARD,SOAR-PAGE-DASHBOARD,SOAR-API-BOT-RUNTIME-POSITIONS,,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-WEB-DASHBOARD-HOME,,high,85,2026-05-23,partially_verified,"Primary dashboard node for UI to backend chain analysis."
SOAR-HOOK-MANUAL-ORDER-CONTROLLER,useManualOrderController,hook,verified,frontend,web-dashboard-home,manual-order,"Controller hook for manual order context state confirmation and submission.",apps/web/src/features/dashboard-home/hooks/useManualOrderController.ts,,SOAR-FEATURE-MANUAL-ORDER,,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN,,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-WEB-DASHBOARD-HOME,,high,100,2026-05-23,verified,"Risk acknowledgement paths require explicit confirmation."
